year,DDpre,DDegg,DDlarv,DDpjuv,DDben,Tcop,Tpart,MLDpart,MLDlarv,MLDpjuv,CSTlarv,CSTpjuv,LSTlarv,LSTpjuv,hci1_larv,hci1_pjuv,hci2_larv,hci2_pjuv,oni_pre,oni_larv,oni_pjuv,pdo_larv,pdo_pjuv,lusi_annual,ZOOpjuvN,ZOObenN,ZOOpjuvS,ZOObenS,X,CutiSTIpjuv,CutiTUMIpjuv,Year,BeutiTUMIpjuv,Year.1,BeutiSTIpjuv,CHLpjuv,PPpjuv,bakun_sti
1993,30563.24435,,29306.65236,46516.10059,35567.78606,,10.07129035,14.91123668,12.17047034,11.1976823,0.01057192,0.009625221,0.007618363,-0.090959099,0.573462415,0.200683371,0.573462415,0.200683371,0.062222222,0.4,0.502,0.55,1.94,162,,,,,6,137.6666667,47.00933333,1993,556.325,1993,122,NA,NA,2.215486249
1994,32852.77689,30939.84855,28754.12298,41813.07803,37359.17155,10.71274509,10.02370941,13.92387539,12.03295812,10.84533222,0.014388176,0.010791482,-0.022227992,-0.120476505,0.295558087,0.170615034,0.295558087,0.170615034,0.135555556,0.12,0.402,0.55,0.134,177,,,,,7,93.66666667,50.25266667,1994,554.0475,1994,90,NA,NA,0.091893143
1995,34521.69972,30534.47165,32563.92312,41866.28126,38979.66309,11.45879821,10.56641062,15.05859704,11.84879909,10.91463807,0.013977656,0.014952145,-0.008593849,-0.1220054,0.197038724,0.262414579,0.197038724,0.262414579,0.718888889,0.625,-0.074,0.76,1.22,166,,,,,8,85,44.96333333,1995,571.2405,1995,85,NA,NA,-0.532693064
1996,35897.56115,35309.55426,31643.46951,41029.7258,35151.63507,11.02532076,10.81066615,15.12993445,11.8957015,11.20138152,0.020973353,0.013010835,-0.043861582,-0.121143672,0.10022779,0.312756264,0.10022779,0.312756264,-0.753333333,-0.67,-0.318,1.105,1.038,134,-0.477076114,0.21123601,0.082171164,-0.02765,9,123,55.81633333,1996,562.728,1996,115,NA,NA,1.216148317
1997,31841.63339,30660.95843,27106.38655,44850.35308,47657.21548,10.52898956,9.712904754,13.42029653,10.98845313,10.72521659,0.021049014,0.008812069,-0.074879495,-0.091839618,0.525056948,0.066287016,0.525056948,0.066287016,-0.36,-0.23,1.15,0.715,1.958,107,-0.331402624,-0.863642725,0.01720457,0.240013011,10,100.3333333,27.23766667,1997,518.5025,1997,88,NA,NA,0.549923029
1998,43451.92052,44863.69919,38130.19412,46251.66013,38747.58029,12.68796551,11.76038784,22.63926084,16.41481818,11.01609444,0.009711041,0.006085281,0.017776259,-0.096520525,0,0.113895216,0,0.113895216,2.041111111,1.685,-0.118,2.11,0.166,192,-0.96385214,-0.121386475,0.516547794,0.168961864,11,71.33333333,57.71966667,1998,579.05225,1998,71.33333333,1.533853647,932.863939,-1.240557433
1999,34024.80375,35994.388,24875.58679,37003.4123,36317.41077,11.21158464,9.233724478,16.80005762,14.76607736,11.23271603,0.019676505,0.012303826,0.010755834,-0.134425438,0.999430524,0.683143508,0.999430524,0.683143508,-1.281111111,-1.185,-1.05,-0.435,-1.31,206,-0.075731668,0.265828659,-0.197621504,-0.372506192,12,87,65.25933333,1999,756.74725,1999,87,1.730501916,1049.52755,-0.99072295
2000,32816.48005,34215.4497,28768.53345,39821.40216,34925.68788,10.55032555,9.888925048,13.4319323,11.78732755,10.7289702,0.014609526,0.013876684,-0.024516296,-0.122195307,0.589977221,0.421867882,0.589977221,0.421867882,-1.32,-1.24,-0.644,-0.365,-0.564,152,0.006219416,0.451691998,-0.275752651,-0.223250174,13,56.33333333,56.05833333,2000,632.0835,2000,56.33333333,1.966836011,1087.88214,0.883035673
2001,31585.98041,30290.38232,26365.79671,37581.25603,35688.04598,10.56999026,9.586748489,14.0270745,11.33657886,11.03627692,0.010641708,0.008763787,-0.048188988,-0.117685571,0.696469248,0.668109339,0.696469248,0.668109339,-0.596666667,-0.48,-0.184,0.445,-0.794,175,0.125937443,0.491130715,-0.251882947,-0.255253948,14,39.33333333,75.13866667,2001,837.096,2001,39.33333333,1.945170441,1094.62986,0.300088546
2002,31191.51899,32605.34085,23877.86567,35593.51866,35875.90305,10.47775117,9.227410966,13.71208879,10.97567319,11.01462564,0.014069287,0.009691728,-0.056580856,-0.134760995,0.936788155,0.661275626,0.936788155,0.661275626,-0.153333333,0.06,0.586,-0.425,-0.326,198,0.285525971,0.489711442,-0.225677947,-0.142244155,15,48.33333333,82.12966667,2002,908.08925,2002,58.66666667,3.06325793,1431.34816,-0.282858581
