,Year,Total Biomass (mt),Spawning output (trillions of eggs),Total Biomass 4+ (mt),Fraction Unfished,"Age-0 Recruits (1,000s)",Total Mortality (mt),(1-SPR)/(1-SPR_50%),Exploitation Rate
1,1889,139024,14.6,134984,1,36654,0,0,0
2,1890,139024,14.6,134984,1,36654,0,0,0
3,1891,139025,14.6,134983,1,36654,0,0,0
4,1892,139026,14.6,134983,1,36654,2,0.001,0
5,1893,139027,14.59,134984,1,36654,2,0,0
6,1894,139030,14.59,134986,1,36654,2,0,0
7,1895,139033,14.59,134990,1,36654,1,0,0
8,1896,139039,14.59,134996,1,36654,0,0,0
9,1897,139045,14.59,135002,1,36654,0,0,0
10,1898,139052,14.59,135008,1,36654,0,0,0
11,1899,139058,14.6,135015,1,36654,0,0,0
12,1900,139064,14.6,135021,1,36654,0,0,0
13,1901,139069,14.6,135026,1,36655,0,0,0
14,1902,139075,14.6,135031,1,36655,0,0,0
15,1903,139079,14.6,135036,1,36655,0,0,0
16,1904,139083,14.6,135040,1,36655,1,0,0
17,1905,139087,14.6,135044,1,36655,0,0,0
18,1906,139090,14.6,135047,1,36656,1,0,0
19,1907,139093,14.6,135050,1,36656,1,0,0
20,1908,139096,14.6,135053,1,36656,1,0,0
21,1909,139098,14.6,135055,1,36656,1,0,0
22,1910,139100,14.6,135057,1,36656,1,0,0
23,1911,139102,14.6,135059,1,36656,1,0,0
24,1912,139104,14.6,135061,1,36656,1,0,0
25,1913,139105,14.6,135062,1.001,36656,1,0,0
26,1914,139107,14.6,135063,1.001,36656,1,0,0
27,1915,139108,14.6,135064,1.001,36656,1,0,0
28,1916,139109,14.6,135065,1.001,36656,4,0.001,0
29,1917,139107,14.6,135064,1.001,36656,6,0.001,0
30,1918,139103,14.6,135060,1,36656,16,0.003,0
31,1919,139091,14.6,135047,1,36656,5,0.001,0
32,1920,139090,14.6,135046,1,36655,6,0.001,0
33,1921,139088,14.6,135045,1,36655,8,0.002,0
34,1922,139085,14.6,135042,1,36655,6,0.001,0
35,1923,139084,14.6,135040,1,36655,3,0.001,0
36,1924,139085,14.6,135042,1,36655,6,0.001,0
37,1925,139083,14.6,135040,1,36655,15,0.003,0
38,1926,139074,14.6,135030,1,36655,16,0.003,0
39,1927,139064,14.59,135021,1,36654,28,0.006,0
40,1928,139045,14.59,135001,1,36654,26,0.005,0
41,1929,139029,14.59,134986,1,36653,34,0.007,0
42,1930,139008,14.58,134965,0.999,36652,48,0.01,0
43,1931,138976,14.58,134933,0.999,36650,57,0.012,0
44,1932,138939,14.57,134896,0.998,36866,38,0.008,0
45,1933,138924,14.57,134880,0.998,36878,35,0.007,0
46,1934,138919,14.57,134869,0.998,36888,34,0.007,0
47,1935,138927,14.56,134860,0.998,36894,54,0.011,0
48,1936,138928,14.56,134860,0.998,36896,54,0.011,0
49,1937,138943,14.56,134874,0.997,36896,59,0.012,0
50,1938,138964,14.55,134895,0.997,36896,72,0.015,0.001
51,1939,138984,14.55,134914,0.997,36904,82,0.017,0.001
52,1940,139001,14.54,134931,0.996,36927,158,0.032,0.001
53,1941,138955,14.52,134885,0.995,36979,211,0.043,0.002
54,1942,138871,14.5,134800,0.994,37081,340,0.069,0.003
55,1943,138686,14.46,134610,0.991,37255,1399,0.261,0.01
56,1944,137558,14.26,133474,0.977,37472,2490,0.433,0.019
57,1945,135556,13.91,131458,0.953,37712,4663,0.71,0.035
58,1946,131788,13.25,127669,0.908,37890,2811,0.501,0.022
59,1947,130139,12.91,125996,0.885,38176,1416,0.286,0.011
60,1948,130010,12.82,125842,0.878,38473,1301,0.267,0.01
61,1949,130092,12.77,125901,0.875,38476,1015,0.213,0.008
62,1950,130524,12.78,126302,0.876,37884,1244,0.256,0.01
63,1951,130793,12.77,126552,0.875,36484,1299,0.266,0.01
64,1952,131043,12.76,126828,0.874,34561,1648,0.328,0.013
65,1953,130944,12.71,126826,0.871,32772,927,0.196,0.007
66,1954,131411,12.78,127466,0.876,31640,1210,0.249,0.009
67,1955,131365,12.81,127623,0.878,31089,1203,0.247,0.009
68,1956,131024,12.85,127453,0.881,30203,1401,0.282,0.011
69,1957,130173,12.87,126708,0.882,28683,1436,0.288,0.011
70,1958,128980,12.87,125591,0.882,27774,1490,0.298,0.012
71,1959,127437,12.86,124165,0.881,29549,1529,0.305,0.012
72,1960,125593,12.83,122452,0.879,36744,1864,0.364,0.015
73,1961,123301,12.72,120134,0.871,47613,1753,0.349,0.015
74,1962,121303,12.59,117726,0.863,43810,2351,0.451,0.02
75,1963,119354,12.33,114930,0.845,30515,1924,0.389,0.017
76,1964,118605,12.11,113561,0.83,24820,1584,0.336,0.014
77,1965,118645,11.92,114322,0.817,24502,1495,0.325,0.013
78,1966,118740,11.73,115581,0.804,25542,4123,0.731,0.036
79,1967,116043,11.14,113311,0.764,27713,3491,0.672,0.031
80,1968,113658,10.71,110906,0.734,38145,3258,0.649,0.029
81,1969,111268,10.4,108317,0.712,31608,4184,0.78,0.039
82,1970,108083,10.04,104686,0.688,23695,2608,0.564,0.025
83,1971,106605,10.01,102676,0.686,17788,2054,0.468,0.02
84,1972,105613,10.07,102443,0.69,23093,3143,0.65,0.031
85,1973,103308,9.93,100879,0.68,28694,3667,0.737,0.036
86,1974,100262,9.65,98077,0.661,54563,2711,0.608,0.028
87,1975,98193,9.45,95306,0.648,41588,1692,0.426,0.018
88,1976,97735,9.39,93708,0.643,35429,4369,0.86,0.047
89,1977,95723,8.93,90205,0.612,40188,6136,1.073,0.068
90,1978,93101,8.26,88710,0.566,28650,8672,1.305,0.098
91,1979,89063,7.24,85046,0.496,17157,7667,1.301,0.09
92,1980,86604,6.43,82648,0.44,21232,7510,1.341,0.091
93,1981,84265,5.7,81497,0.39,29363,9643,1.505,0.118
94,1982,79609,4.84,77527,0.332,16384,10309,1.575,0.133
95,1983,74149,4.13,71583,0.283,29990,10781,1.627,0.151
96,1984,68085,3.59,65240,0.246,42551,5580,1.371,0.086
97,1985,66811,3.74,64447,0.256,27617,3625,1.12,0.056
98,1986,67505,4.1,63824,0.281,31198,5473,1.324,0.086
99,1987,66758,4.19,62583,0.287,39009,5404,1.32,0.086
100,1988,66434,4.17,63217,0.286,23496,6707,1.438,0.106
101,1989,65316,3.9,61675,0.267,56088,5139,1.336,0.083
102,1990,66062,3.77,62144,0.259,55905,4866,1.324,0.078
103,1991,67749,3.68,63984,0.252,44850,4377,1.278,0.068
104,1992,70900,3.69,64780,0.253,29095,6667,1.477,0.103
105,1993,72772,3.51,67090,0.24,19033,5997,1.436,0.089
106,1994,75497,3.51,71172,0.24,33607,6069,1.44,0.085
107,1995,77659,3.54,74734,0.242,30101,5624,1.399,0.075
108,1996,79476,3.66,76871,0.251,19201,6229,1.428,0.081
109,1997,79942,3.78,76419,0.259,25602,2372,0.904,0.031
110,1998,83019,4.4,80056,0.301,45050,3122,0.972,0.039
111,1999,84481,5.01,82028,0.344,34393,3625,1.038,0.044
112,2000,85135,5.56,81666,0.381,58012,3719,0.978,0.046
113,2001,85810,6.04,81099,0.414,27810,2227,0.673,0.027
114,2002,88386,6.57,83903,0.45,15829,1275,0.433,0.015
115,2003,92062,7.08,86816,0.485,22326,481,0.172,0.006
116,2004,95968,7.58,93297,0.519,33047,655,0.22,0.007
117,2005,98813,7.98,96776,0.547,16393,936,0.295,0.01
118,2006,100548,8.3,97787,0.569,47531,491,0.164,0.005
119,2007,101965,8.68,98754,0.595,21162,387,0.126,0.004
120,2008,103125,9.12,100334,0.625,69192,475,0.153,0.005
121,2009,104183,9.56,99635,0.655,16720,766,0.223,0.008
122,2010,105484,9.94,101700,0.681,43889,973,0.266,0.01
123,2011,107003,10.2,101117,0.699,26602,1364,0.347,0.013
124,2012,108367,10.28,105636,0.704,31998,1597,0.388,0.015
125,2013,109503,10.23,105255,0.701,34766,1427,0.366,0.014
126,2014,110627,10.16,107483,0.696,39273,1468,0.366,0.014
127,2015,111540,10.12,107887,0.693,22756,1980,0.463,0.018
128,2016,111875,10.08,107966,0.691,32993,1517,0.369,0.014
129,2017,112426,10.19,108635,0.698,22327,3053,0.631,0.028
130,2018,111232,10.13,108411,0.694,20164,3515,0.7,0.032
131,2019,109263,10.02,106019,0.687,33162,3692,0.731,0.035
132,2020,106735,9.86,104280,0.676,27174,3677,0.737,0.035
133,2021,104023,9.68,101362,0.663,46846,2934,0.635,0.029
134,2022,102076,9.59,98529,0.657,30012,3117,0.669,0.032
135,2023,100377,9.46,96760,0.648,56453,3360,0.717,0.035
136,2024,99102,9.27,94401,0.635,33341,2802,0.638,0.03
137,2025,99256,9.13,95116,0.626,34652,4060,0.838,0.043
138,2026,98997,8.77,93596,0.601,34445,4066,0.86,0.043
139,2027,99231,8.39,95507,0.575,34214,4723,0.962,0.049
140,2028,99067,7.95,95254,0.545,33924,4540,0.959,0.048
141,2029,99140,7.63,95351,0.523,33689,4445,0.956,0.047
142,2030,99234,7.43,95472,0.509,33541,4421,0.954,0.046
143,2031,99215,7.36,95482,0.504,33487,4435,0.951,0.046
144,2032,99026,7.39,95315,0.506,33510,4467,0.948,0.047
145,2033,98662,7.47,94964,0.512,33570,4485,0.946,0.047
146,2034,98167,7.55,94472,0.517,33628,4476,0.943,0.047
147,2035,97608,7.59,93909,0.52,33661,4452,0.94,0.047
148,2036,97035,7.59,93330,0.52,33664,4414,0.938,0.047
