year,CutiSTIpjuv,CutiTUMIpjuv,BeutiTUMIpjuv,BeutiSTIpjuv,CHLpjuv,PPpjuv,zoo_pjuv,zoo_ben,Y_rec,sd
1988,-0.758684738,-0.424311466,-0.631772257,-1.579877864,,,,,-0.0204481,0.278137
1989,0.301265665,-0.898933571,-0.666142012,0.454945987,,,,,0.760427,0.16974
1990,-0.990548889,-0.366274988,0.40421004,-0.979237089,,,,,0.833503,0.178244
1991,0.455841766,0.205187054,-0.106047568,0.626557637,,,,,0.62794,0.206686
1992,-0.173503786,0.210456019,-1.133676969,-0.734077589,,,,,0.273125,0.240013
1993,1.802862071,-0.95281717,-1.147605047,1.545905762,,,,,-0.0750938,0.282893
1994,0.345430266,-0.700270244,-1.167578504,0.369140162,,,,,0.3713,0.207673
1995,0.058360364,-1.112131973,-1.033687198,0.185270537,,,,,0.294065,0.216216
1996,1.317051469,-0.267047146,-1.102932466,1.288488287,,,-0.4770761135,0.21123601,-0.300866,0.299939
1997,0.566253266,-2.492367111,-1.45439813,0.295592312,,,-0.331402624,-0.86364272475,-0.0262369,0.251351
1998,-0.394326787,-0.118841294,-0.977882032,-0.317306439,-1.966332612,-2.083760234,-0.9638521398,-0.1213864745,0.488059,0.196957
1999,0.124607265,0.468245954,0.424369205,0.258818387,-1.415183996,-1.025894208,-0.0757316676,0.26582865875,0.39868,0.225575
2000,-0.891178539,-0.24820346,-0.562756161,-0.868915314,-0.752807411,-0.678107852,0.0062194158,0.4516919975,0.677969,0.176911
2001,-1.454277191,1.237514792,1.055370407,-1.494072039,-0.81352978,-0.61692184,0.1259374426,0.491130715,-0.0174897,0.249959
2002,-1.15616614,1.781879302,1.614415801,-0.783109489,2.320148299,2.436325368,0.2855259712,0.48971144225,-0.508487,0.287332
2003,0.665623617,0.642666853,-0.676120838,0.859459162,0.66532511,1.028412293,-0.0252714176,-0.141425013333333,-0.288797,0.242626
2004,-0.791808189,1.035970406,-0.646362165,-0.623755814,0.175986668,0.637829228,0.2056824832,-0.34540399025,-0.0738993,0.202608
2005,1.51579217,0.697822271,-0.747369378,0.356882187,-0.121433362,-0.158324677,-0.9937721398,0.135073788,-0.92342,0.306746
2006,0.257101065,3.281250142,0.499173849,0.614299662,1.260296582,1.026039948,-0.1769745842,0.04687810875,0.261821,0.160438
2007,0.533129816,-0.657651328,-0.102704829,0.712363462,0.842964496,1.589098154,0.1420161934,0.037978109,-0.806397,0.288319
2008,-1.388030291,0.637839131,2.231524487,-1.420524189,0.838052988,0.813785998,0.3935656378,0.21766284075,0.399459,0.171487
2009,-1.763429392,-0.234654694,1.10278119,-1.837295339,1.839491865,1.24686319,0.3024303344,-0.03899565675,-0.76894,0.307697
2010,0.301265665,-0.966132337,0.144744764,0.454945987,-0.241011813,-0.408650997,-0.0595660286,0.314839048333333,0.474934,0.225107
2011,0.135648415,-1.111898374,0.386105515,0.271076362,-0.29969837,-0.191067986,0.46252415,0.27698517675,-0.448451,0.370634
2012,1.041022718,-0.490056724,0.354197374,1.276230312,-1.001098613,-1.215909612,0.350314609,-0.0652468665,-0.218587,0.43534
2013,-1.553647541,0.109359382,0.225023835,-1.604393814,0.047126688,-0.623643854,0.4216189714,0.04979111675,0.0738459,0.501232
2014,0.820199717,-0.041234376,-0.53057341,0.614299662,0.577291908,0.766377271,0.2987980566,-0.49359550225,0.0104437,0.500226
2015,0.544170966,0.507750211,0.631796811,0.087206736,0.499575676,0.183554681,-0.3320563324,-0.981424840333333,,
2016,-0.063092286,0.320195834,0.261934229,0.050432811,0.654188301,0.79632394,-1.0075576954,-0.729988558,,
2017,1.074146168,0.183955463,0.412321911,1.313004237,-0.808426099,-0.713716781,-0.8578432508,0.01334477525,,
2018,-0.029968836,0.054359697,0.411403251,0.173012562,-0.848584923,-0.874816151,0.122942265,0.189536442,,
2019,-0.151421486,0.325412888,0.784695498,-0.047630989,-0.5632229,-0.810115169,0.4000500824,-0.23792050225,,
2020,-1.564688691,-0.15564618,0.860367437,-1.616651789,-0.881938074,-0.341292864,0.6434434156,0.207398942,,
2021,-0.869096239,0.813350161,2.48779322,-0.035373014,0.597171482,0.217247042,0.5377223048,0.20181684325,,
2022,2.134096572,-1.274743124,-1.60461986,2.134288562,-1.129680753,-0.866294905,0.225826749,0.28571560875,,
