time,beuti
UTC,mmol s^-1 m^-1
1988-01-15T00:00:00Z,-0.442
1988-02-15T00:00:00Z,3.258
1988-03-15T00:00:00Z,0.762
1988-04-15T00:00:00Z,0.902
1988-05-15T00:00:00Z,0.068
1988-06-15T00:00:00Z,0.297
1988-07-15T00:00:00Z,1.198
1988-08-15T00:00:00Z,1.712
1988-09-15T00:00:00Z,1.252
1988-10-15T00:00:00Z,0.462
1988-11-15T00:00:00Z,-0.401
1988-12-15T00:00:00Z,1.051
1989-01-15T00:00:00Z,0.949
1989-02-15T00:00:00Z,-1.359
1989-03-15T00:00:00Z,-10.264
1989-04-15T00:00:00Z,2.079
1989-05-15T00:00:00Z,1.16
1989-06-15T00:00:00Z,0.739
1989-07-15T00:00:00Z,0.125
1989-08-15T00:00:00Z,0.726
1989-09-15T00:00:00Z,1.485
1989-10-15T00:00:00Z,0.31
1989-11-15T00:00:00Z,0.222
1989-12-15T00:00:00Z,1.228
1990-01-15T00:00:00Z,-4.569
1990-02-15T00:00:00Z,-1.89
1990-03-15T00:00:00Z,1.17
1990-04-15T00:00:00Z,3.576
1990-05-15T00:00:00Z,2.684
1990-06-15T00:00:00Z,0.115
1990-07-15T00:00:00Z,0.828
1990-08-15T00:00:00Z,1.119
1990-09-15T00:00:00Z,0.161
1990-10-15T00:00:00Z,0.015
1990-11-15T00:00:00Z,-0.011
1990-12-15T00:00:00Z,5.267
1991-01-15T00:00:00Z,-0.597
1991-02-15T00:00:00Z,-5.348
1991-03-15T00:00:00Z,0.739
1991-04-15T00:00:00Z,-1.209
1991-05-15T00:00:00Z,3.411
1991-06-15T00:00:00Z,3.638
1991-07-15T00:00:00Z,1.748
1991-08-15T00:00:00Z,0.436
1991-09-15T00:00:00Z,0.237
1991-10-15T00:00:00Z,1.151
1991-11-15T00:00:00Z,-0.773
1991-12-15T00:00:00Z,-1.206
1992-01-15T00:00:00Z,-7.41
1992-02-15T00:00:00Z,-1.782
1992-03-15T00:00:00Z,1.359
1992-04-15T00:00:00Z,0.042
1992-05-15T00:00:00Z,0.342
1992-06-15T00:00:00Z,0.403
1992-07-15T00:00:00Z,0.528
1992-08-15T00:00:00Z,0.507
1992-09-15T00:00:00Z,0.603
1992-10-15T00:00:00Z,0.406
1992-11-15T00:00:00Z,-0.141
1992-12-15T00:00:00Z,-0.54
1993-01-15T00:00:00Z,-0.284
1993-02-15T00:00:00Z,0.319
1993-03-15T00:00:00Z,-3.679
1993-04-15T00:00:00Z,-3.822
1993-05-15T00:00:00Z,-0.029
1993-06-15T00:00:00Z,0.082
1993-07-15T00:00:00Z,0.182
1993-08-15T00:00:00Z,0.309
1993-09-15T00:00:00Z,0.888
1993-10-15T00:00:00Z,0.426
1993-11-15T00:00:00Z,1.123
1993-12-15T00:00:00Z,-7.233
1994-01-15T00:00:00Z,-2.582
1994-02-15T00:00:00Z,-4.906
1994-03-15T00:00:00Z,0.318
1994-04-15T00:00:00Z,1.092
1994-05-15T00:00:00Z,0.73
1994-06-15T00:00:00Z,0.12
1994-07-15T00:00:00Z,1.039
1994-08-15T00:00:00Z,0.068
1994-09-15T00:00:00Z,0.045
1994-10-15T00:00:00Z,0.285
1994-11-15T00:00:00Z,-1.412
1994-12-15T00:00:00Z,-9.285
1995-01-15T00:00:00Z,-7.616
1995-02-15T00:00:00Z,-2.708
1995-03-15T00:00:00Z,-3.258
1995-04-15T00:00:00Z,2.354
1995-05-15T00:00:00Z,1.516
1995-06-15T00:00:00Z,0.753
1995-07-15T00:00:00Z,0.568
1995-08-15T00:00:00Z,0.691
1995-09-15T00:00:00Z,0.072
1995-10-15T00:00:00Z,0.05
1995-11-15T00:00:00Z,-0.968
1995-12-15T00:00:00Z,-1.355
1996-01-15T00:00:00Z,0.274
1996-02-15T00:00:00Z,-2.839
1996-03-15T00:00:00Z,-0.425
1996-04-15T00:00:00Z,-2.793
1996-05-15T00:00:00Z,0.679
1996-06-15T00:00:00Z,0.552
1996-07-15T00:00:00Z,0.922
1996-08-15T00:00:00Z,2.209
1996-09-15T00:00:00Z,0.255
1996-10-15T00:00:00Z,0.194
1996-11-15T00:00:00Z,0.119
1996-12-15T00:00:00Z,-4.601
1997-01-15T00:00:00Z,-1.96
1997-02-15T00:00:00Z,1.86
1997-03-15T00:00:00Z,-4.037
1997-04-15T00:00:00Z,1.749
1997-05-15T00:00:00Z,0.201
1997-06-15T00:00:00Z,0.053
1997-07-15T00:00:00Z,0.282
1997-08-15T00:00:00Z,0.254
1997-09-15T00:00:00Z,0.0
1997-10-15T00:00:00Z,-0.009
1997-11-15T00:00:00Z,-0.063
1997-12-15T00:00:00Z,-0.036
1998-01-15T00:00:00Z,-1.806
1998-02-15T00:00:00Z,-2.445
1998-03-15T00:00:00Z,0.206
1998-04-15T00:00:00Z,0.972
1998-05-15T00:00:00Z,0.933
1998-06-15T00:00:00Z,0.73
1998-07-15T00:00:00Z,0.317
1998-08-15T00:00:00Z,0.989
1998-09-15T00:00:00Z,0.611
1998-10-15T00:00:00Z,0.027
1998-11-15T00:00:00Z,-1.347
1998-12-15T00:00:00Z,-1.204
1999-01-15T00:00:00Z,-4.935
1999-02-15T00:00:00Z,-22.082
1999-03-15T00:00:00Z,-7.916
1999-04-15T00:00:00Z,9.036
1999-05-15T00:00:00Z,4.199
1999-06-15T00:00:00Z,1.005
1999-07-15T00:00:00Z,0.617
1999-08-15T00:00:00Z,0.242
1999-09-15T00:00:00Z,1.58
1999-10-15T00:00:00Z,0.488
1999-11-15T00:00:00Z,-2.655
1999-12-15T00:00:00Z,0.301
2000-01-15T00:00:00Z,-3.466
2000-02-15T00:00:00Z,-3.53
2000-03-15T00:00:00Z,1.511
2000-04-15T00:00:00Z,2.633
2000-05-15T00:00:00Z,0.741
2000-06-15T00:00:00Z,0.941
2000-07-15T00:00:00Z,1.196
2000-08-15T00:00:00Z,1.888
2000-09-15T00:00:00Z,0.196
2000-10-15T00:00:00Z,0.009
2000-11-15T00:00:00Z,0.778
2000-12-15T00:00:00Z,-3.765
2001-01-15T00:00:00Z,-6.389
2001-02-15T00:00:00Z,2.365
2001-03-15T00:00:00Z,7.201
2001-04-15T00:00:00Z,1.333
2001-05-15T00:00:00Z,5.048
2001-06-15T00:00:00Z,1.273
2001-07-15T00:00:00Z,2.678
2001-08-15T00:00:00Z,0.21
2001-09-15T00:00:00Z,1.135
2001-10-15T00:00:00Z,0.272
2001-11-15T00:00:00Z,-3.304
2001-12-15T00:00:00Z,-2.247
2002-01-15T00:00:00Z,-2.613
