time,index,timeseries,metric
1988-01-15T00:00:00Z,0.614,33N,"mmol s^-1 m^-1"
1988-01-15T00:00:00Z,2.16,39N,"mmol s^-1 m^-1"
1988-01-15T00:00:00Z,-0.442,45N,"mmol s^-1 m^-1"
1988-02-15T00:00:00Z,0.596,33N,"mmol s^-1 m^-1"
1988-02-15T00:00:00Z,9.58,39N,"mmol s^-1 m^-1"
1988-02-15T00:00:00Z,3.258,45N,"mmol s^-1 m^-1"
1988-03-15T00:00:00Z,0.579,33N,"mmol s^-1 m^-1"
1988-03-15T00:00:00Z,25.179,39N,"mmol s^-1 m^-1"
1988-03-15T00:00:00Z,0.762,45N,"mmol s^-1 m^-1"
1988-04-15T00:00:00Z,0.17,33N,"mmol s^-1 m^-1"
1988-04-15T00:00:00Z,10.962,39N,"mmol s^-1 m^-1"
1988-04-15T00:00:00Z,0.902,45N,"mmol s^-1 m^-1"
1988-05-15T00:00:00Z,0.735,33N,"mmol s^-1 m^-1"
1988-05-15T00:00:00Z,19.798,39N,"mmol s^-1 m^-1"
1988-05-15T00:00:00Z,0.068,45N,"mmol s^-1 m^-1"
1988-06-15T00:00:00Z,0.288,33N,"mmol s^-1 m^-1"
1988-06-15T00:00:00Z,21.401,39N,"mmol s^-1 m^-1"
1988-06-15T00:00:00Z,0.297,45N,"mmol s^-1 m^-1"
1988-07-15T00:00:00Z,0.03,33N,"mmol s^-1 m^-1"
1988-07-15T00:00:00Z,19.794,39N,"mmol s^-1 m^-1"
1988-07-15T00:00:00Z,1.198,45N,"mmol s^-1 m^-1"
1988-08-15T00:00:00Z,0.008,33N,"mmol s^-1 m^-1"
1988-08-15T00:00:00Z,9.025,39N,"mmol s^-1 m^-1"
1988-08-15T00:00:00Z,1.712,45N,"mmol s^-1 m^-1"
1988-09-15T00:00:00Z,0.003,33N,"mmol s^-1 m^-1"
1988-09-15T00:00:00Z,12.575,39N,"mmol s^-1 m^-1"
1988-09-15T00:00:00Z,1.252,45N,"mmol s^-1 m^-1"
1988-10-15T00:00:00Z,0.01,33N,"mmol s^-1 m^-1"
1988-10-15T00:00:00Z,4.547,39N,"mmol s^-1 m^-1"
1988-10-15T00:00:00Z,0.462,45N,"mmol s^-1 m^-1"
1988-11-15T00:00:00Z,0.207,33N,"mmol s^-1 m^-1"
1988-11-15T00:00:00Z,3.881,39N,"mmol s^-1 m^-1"
1988-11-15T00:00:00Z,-0.401,45N,"mmol s^-1 m^-1"
1988-12-15T00:00:00Z,0.912,33N,"mmol s^-1 m^-1"
1988-12-15T00:00:00Z,12.411,39N,"mmol s^-1 m^-1"
1988-12-15T00:00:00Z,1.051,45N,"mmol s^-1 m^-1"
1989-01-15T00:00:00Z,1.434,33N,"mmol s^-1 m^-1"
1989-01-15T00:00:00Z,13.414,39N,"mmol s^-1 m^-1"
1989-01-15T00:00:00Z,0.949,45N,"mmol s^-1 m^-1"
1989-02-15T00:00:00Z,1.679,33N,"mmol s^-1 m^-1"
1989-02-15T00:00:00Z,19.26,39N,"mmol s^-1 m^-1"
1989-02-15T00:00:00Z,-1.359,45N,"mmol s^-1 m^-1"
1989-03-15T00:00:00Z,2.018,33N,"mmol s^-1 m^-1"
1989-03-15T00:00:00Z,-0.148,39N,"mmol s^-1 m^-1"
1989-03-15T00:00:00Z,-10.264,45N,"mmol s^-1 m^-1"
1989-04-15T00:00:00Z,0.286,33N,"mmol s^-1 m^-1"
1989-04-15T00:00:00Z,9.998,39N,"mmol s^-1 m^-1"
1989-04-15T00:00:00Z,2.079,45N,"mmol s^-1 m^-1"
1989-05-15T00:00:00Z,0.328,33N,"mmol s^-1 m^-1"
1989-05-15T00:00:00Z,25.379,39N,"mmol s^-1 m^-1"
1989-05-15T00:00:00Z,1.16,45N,"mmol s^-1 m^-1"
1989-06-15T00:00:00Z,0.163,33N,"mmol s^-1 m^-1"
1989-06-15T00:00:00Z,18.102,39N,"mmol s^-1 m^-1"
1989-06-15T00:00:00Z,0.739,45N,"mmol s^-1 m^-1"
1989-07-15T00:00:00Z,0.04,33N,"mmol s^-1 m^-1"
1989-07-15T00:00:00Z,24.146,39N,"mmol s^-1 m^-1"
1989-07-15T00:00:00Z,0.125,45N,"mmol s^-1 m^-1"
1989-08-15T00:00:00Z,0.009,33N,"mmol s^-1 m^-1"
1989-08-15T00:00:00Z,11.219,39N,"mmol s^-1 m^-1"
1989-08-15T00:00:00Z,0.726,45N,"mmol s^-1 m^-1"
1989-09-15T00:00:00Z,0.005,33N,"mmol s^-1 m^-1"
1989-09-15T00:00:00Z,3.538,39N,"mmol s^-1 m^-1"
1989-09-15T00:00:00Z,1.485,45N,"mmol s^-1 m^-1"
1989-10-15T00:00:00Z,0.015,33N,"mmol s^-1 m^-1"
1989-10-15T00:00:00Z,4.236,39N,"mmol s^-1 m^-1"
1989-10-15T00:00:00Z,0.31,45N,"mmol s^-1 m^-1"
1989-11-15T00:00:00Z,0.008,33N,"mmol s^-1 m^-1"
1989-11-15T00:00:00Z,3.162,39N,"mmol s^-1 m^-1"
1989-11-15T00:00:00Z,0.222,45N,"mmol s^-1 m^-1"
1989-12-15T00:00:00Z,0.093,33N,"mmol s^-1 m^-1"
1989-12-15T00:00:00Z,4.571,39N,"mmol s^-1 m^-1"
1989-12-15T00:00:00Z,1.228,45N,"mmol s^-1 m^-1"
1990-01-15T00:00:00Z,0.444,33N,"mmol s^-1 m^-1"
1990-01-15T00:00:00Z,8.789,39N,"mmol s^-1 m^-1"
1990-01-15T00:00:00Z,-4.569,45N,"mmol s^-1 m^-1"
1990-02-15T00:00:00Z,1.925,33N,"mmol s^-1 m^-1"
1990-02-15T00:00:00Z,16.87,39N,"mmol s^-1 m^-1"
1990-02-15T00:00:00Z,-1.89,45N,"mmol s^-1 m^-1"
1990-03-15T00:00:00Z,1.588,33N,"mmol s^-1 m^-1"
1990-03-15T00:00:00Z,21.018,39N,"mmol s^-1 m^-1"
1990-03-15T00:00:00Z,1.17,45N,"mmol s^-1 m^-1"
1990-04-15T00:00:00Z,0.35,33N,"mmol s^-1 m^-1"
1990-04-15T00:00:00Z,21.164,39N,"mmol s^-1 m^-1"
1990-04-15T00:00:00Z,3.576,45N,"mmol s^-1 m^-1"
1990-05-15T00:00:00Z,0.197,33N,"mmol s^-1 m^-1"
1990-05-15T00:00:00Z,28.566,39N,"mmol s^-1 m^-1"
1990-05-15T00:00:00Z,2.684,45N,"mmol s^-1 m^-1"
1990-06-15T00:00:00Z,0.063,33N,"mmol s^-1 m^-1"
1990-06-15T00:00:00Z,13.908,39N,"mmol s^-1 m^-1"
1990-06-15T00:00:00Z,0.115,45N,"mmol s^-1 m^-1"
1990-07-15T00:00:00Z,0.009,33N,"mmol s^-1 m^-1"
1990-07-15T00:00:00Z,5.738,39N,"mmol s^-1 m^-1"
1990-07-15T00:00:00Z,0.828,45N,"mmol s^-1 m^-1"
1990-08-15T00:00:00Z,0.005,33N,"mmol s^-1 m^-1"
