"","Yr","SpawnBio","exp_recr","with_regime","bias_adjusted","pred_recr","dev","biasadjuster","era","mature_bio","mature_num","raw_dev"
"3667",1889,14.9782,35221.5,35221.5,35221.5,35221.5,NA,NA,"Fixed",NA,NA,NA
"3668",1890,14.9782,35221.5,35221.5,35221.5,35221.5,NA,NA,"Fixed",NA,NA,NA
"3669",1891,14.9782,35221.5,35221.5,35221.5,35221.5,NA,NA,"Fixed",NA,NA,NA
"3670",1892,14.9781,35221.5,35221.5,35221.5,35221.5,NA,NA,"Fixed",NA,NA,NA
"3671",1893,14.9777,35221.4,35221.4,35221.4,35221.4,NA,NA,"Fixed",NA,NA,NA
"3672",1894,14.9774,35221.3,35221.3,35221.3,35221.3,NA,NA,"Fixed",NA,NA,NA
"3673",1895,14.9772,35221.3,35221.3,35221.3,35221.3,NA,NA,"Fixed",NA,NA,NA
"3674",1896,14.9772,35221.3,35221.3,35221.3,35221.3,NA,NA,"Fixed",NA,NA,NA
"3675",1897,14.9774,35221.3,35221.3,35221.3,35221.3,NA,NA,"Fixed",NA,NA,NA
"3676",1898,14.9777,35221.4,35221.4,35221.4,35221.4,NA,NA,"Fixed",NA,NA,NA
"3677",1899,14.9782,35221.5,35221.5,35221.5,35221.5,NA,NA,"Fixed",NA,NA,NA
"3678",1900,14.9787,35221.6,35221.6,35221.6,35221.6,NA,NA,"Fixed",NA,NA,NA
"3679",1901,14.9794,35221.8,35221.8,35221.8,35221.8,NA,NA,"Fixed",NA,NA,NA
"3680",1902,14.9801,35221.9,35221.9,35221.9,35221.9,NA,NA,"Fixed",NA,NA,NA
"3681",1903,14.9809,35222.1,35222.1,35222.1,35222.1,NA,NA,"Fixed",NA,NA,NA
"3682",1904,14.9815,35222.3,35222.3,35222.3,35222.3,NA,NA,"Fixed",NA,NA,NA
"3683",1905,14.9821,35222.4,35222.4,35222.4,35222.4,NA,NA,"Fixed",NA,NA,NA
"3684",1906,14.9827,35222.5,35222.5,35222.5,35222.5,NA,NA,"Fixed",NA,NA,NA
"3685",1907,14.9833,35222.6,35222.6,35222.6,35222.6,NA,NA,"Fixed",NA,NA,NA
"3686",1908,14.9837,35222.7,35222.7,35222.7,35222.7,NA,NA,"Fixed",NA,NA,NA
"3687",1909,14.9841,35222.8,35222.8,35222.8,35222.8,NA,NA,"Fixed",NA,NA,NA
"3688",1910,14.9845,35222.9,35222.9,35222.9,35222.9,NA,NA,"Fixed",NA,NA,NA
"3689",1911,14.9848,35223,35223,35223,35223,NA,NA,"Fixed",NA,NA,NA
"3690",1912,14.9851,35223.1,35223.1,35223.1,35223.1,NA,NA,"Fixed",NA,NA,NA
"3691",1913,14.9853,35223.1,35223.1,35223.1,35223.1,NA,NA,"Fixed",NA,NA,NA
"3692",1914,14.9855,35223.2,35223.2,35223.2,35223.2,NA,NA,"Fixed",NA,NA,NA
"3693",1915,14.9857,35223.2,35223.2,35223.2,35223.2,NA,NA,"Fixed",NA,NA,NA
"3694",1916,14.9858,35223.2,35223.2,35223.2,35223.2,NA,NA,"Fixed",NA,NA,NA
"3695",1917,14.9855,35223.2,35223.2,35223.2,35223.2,NA,NA,"Fixed",NA,NA,NA
"3696",1918,14.9848,35223,35223,35223,35223,NA,NA,"Fixed",NA,NA,NA
"3697",1919,14.9826,35222.5,35222.5,35222.5,35222.5,NA,NA,"Fixed",NA,NA,NA
"3698",1920,14.9823,35222.4,35222.4,35222.4,35222.4,NA,NA,"Fixed",NA,NA,NA
"3699",1921,14.9819,35222.3,35222.3,35222.3,35222.3,NA,NA,"Fixed",NA,NA,NA
