Datatreatment,Y_rec,sd,type,year
Unexpanded PacFIN,-0.0811296,NA,Main_RecrDev,1978
Unexpanded PacFIN,-0.588992,NA,Main_RecrDev,1979
Unexpanded PacFIN,-0.28468,NA,Main_RecrDev,1980
Unexpanded PacFIN,0.118503,NA,Main_RecrDev,1981
Unexpanded PacFIN,-0.452251,NA,Main_RecrDev,1982
Unexpanded PacFIN,0.179471,NA,Main_RecrDev,1983
Unexpanded PacFIN,0.595513,NA,Main_RecrDev,1984
Unexpanded PacFIN,0.0508196,NA,Main_RecrDev,1985
Unexpanded PacFIN,0.160862,NA,Main_RecrDev,1986
Unexpanded PacFIN,0.425757,NA,Main_RecrDev,1987
Unexpanded PacFIN,-0.173191,NA,Main_RecrDev,1988
Unexpanded PacFIN,0.703637,NA,Main_RecrDev,1989
Unexpanded PacFIN,0.770016,NA,Main_RecrDev,1990
Unexpanded PacFIN,0.498112,NA,Main_RecrDev,1991
Unexpanded PacFIN,0.0781168,NA,Main_RecrDev,1992
Unexpanded PacFIN,-0.183704,NA,Main_RecrDev,1993
Unexpanded PacFIN,0.17719,NA,Main_RecrDev,1994
Unexpanded PacFIN,0.138858,NA,Main_RecrDev,1995
Unexpanded PacFIN,-0.370337,NA,Main_RecrDev,1996
Unexpanded PacFIN,-0.012926,NA,Main_RecrDev,1997
Unexpanded PacFIN,0.368829,NA,Main_RecrDev,1998
Unexpanded PacFIN,0.206017,NA,Main_RecrDev,1999
Unexpanded PacFIN,0.659398,NA,Main_RecrDev,2000
Unexpanded PacFIN,-0.0263508,NA,Main_RecrDev,2001
Unexpanded PacFIN,-0.818246,NA,Main_RecrDev,2002
Unexpanded PacFIN,-0.447866,NA,Main_RecrDev,2003
Unexpanded PacFIN,7.66765e-05,NA,Main_RecrDev,2004
Unexpanded PacFIN,-0.821131,NA,Main_RecrDev,2005
Unexpanded PacFIN,0.504081,NA,Main_RecrDev,2006
Unexpanded PacFIN,-0.343247,NA,Main_RecrDev,2007
Unexpanded PacFIN,0.883224,NA,Main_RecrDev,2008
Unexpanded PacFIN,-0.612555,NA,Main_RecrDev,2009
Unexpanded PacFIN,0.426268,NA,Main_RecrDev,2010
Unexpanded PacFIN,-0.080366,NA,Main_RecrDev,2011
Unexpanded PacFIN,0.171323,NA,Main_RecrDev,2012
Unexpanded PacFIN,0.268403,NA,Main_RecrDev,2013
Unexpanded PacFIN,0.489374,NA,Main_RecrDev,2014
Unexpanded PacFIN,-0.000596265,NA,Main_RecrDev,2015
Unexpanded PacFIN,-0.0572537,NA,Main_RecrDev,2016
Unexpanded PacFIN,-0.636629,NA,Main_RecrDev,2017
Unexpanded PacFIN,-0.710712,NA,Main_RecrDev,2018
Unexpanded PacFIN,-0.475455,NA,Late_RecrDev,2019
Unexpanded PacFIN,-0.282589,NA,Late_RecrDev,2020
Unexpanded PacFIN,-0.077653,NA,Late_RecrDev,2021
Expanded PacFIN,0.0855595,0.279557,Main_RecrDev,1978
Expanded PacFIN,-0.412938,0.325182,Main_RecrDev,1979
Expanded PacFIN,-0.255681,0.297143,Main_RecrDev,1980
Expanded PacFIN,0.0905066,0.245403,Main_RecrDev,1981
Expanded PacFIN,-0.265213,0.316932,Main_RecrDev,1982
Expanded PacFIN,-0.049798,0.288917,Main_RecrDev,1983
Expanded PacFIN,0.278592,0.258358,Main_RecrDev,1984
