Date,Site,Collection,Mooring Code,Sampling Interval,SFLA_count,sfla_settlement_rate
6/19/14,RR,01,RR01,16,6,0.354166667
6/19/14,RR,02,RR02,16,9,0.583333333
6/19/14,RR,03,RR03,16,9,0.583333333
6/19/14,RR,04,RR04,16,22,1.359375
6/19/14,HH,01,HH01,16,0,0
6/19/14,HH,02,HH02,16,6,0.375
6/19/14,HH,03,HH03,16,14,0.875
6/19/14,HH,04,HH04,16,0,0
7/1/14,RR,01,RR04,12,0,0
7/1/14,RR,02,RR03,12,0,0
7/1/14,RR,03,RR02,12,0,0
7/1/14,RR,04,RR01,12,0,0
7/1/14,HH,01,HH04,12,0,0
7/1/14,HH,02,HH03,12,2,0.166666667
7/1/14,HH,03,HH02,12,0,0
7/1/14,HH,04,HH01,12,1,0.083333333
7/18/14,RR,01,RR01,17,0,0
7/18/14,RR,02,RR02,17,0,0
7/18/14,RR,03,RR03,17,0,0
7/18/14,RR,04,RR04,17,0,0
7/18/14,HH,01,HH01,17,0,0
7/18/14,HH,02,HH02,17,0,0
7/18/14,HH,03,HH03,17,0,0
7/18/14,HH,04,HH04,17,0,0
7/29/14,RR,01,RR01,11,0,0
7/29/14,RR,02,RR02,11,0,0
7/29/14,RR,03,RR03,11,0,0
7/29/14,RR,04,RR04,11,0,0
7/29/14,HH,01,HH01,11,0,0
7/29/14,HH,02,HH02,11,0,0
7/29/14,HH,03,HH03,11,0,0
7/29/14,HH,04,HH04,11,0,0
8/17/14,RR,01,RR01,19,0,0
8/17/14,RR,02,RR02,19,0,0
8/17/14,RR,03,RR03,19,0,0
8/17/14,RR,04,RR04,19,0,0
8/17/14,HH,01,HH01,19,0,0
8/17/14,HH,02,HH02,19,0,0
8/17/14,HH,03,HH03,19,0,0
8/17/14,HH,04,HH04,19,0,0
9/5/14,RR,01,RR01,19,0,0
9/5/14,RR,02,RR02,19,0,0
9/5/14,RR,03,RR03,19,0,0
9/5/14,RR,04,RR04,19,0,0
9/5/14,HH,01,HH01,19,0,0
9/5/14,HH,02,HH02,19,0,0
9/5/14,HH,03,HH03,19,0,0
9/5/14,HH,04,HH04,19,0,0
9/16/14,RR,01,RR01,11,0,0
9/16/14,RR,02,RR02,11,0,0
9/16/14,RR,03,RR03,11,0,0
9/16/14,RR,04,RR04,11,0,0
9/16/14,HH,01,HH01,11,0,0
9/16/14,HH,02,HH02,11,0,0
9/16/14,HH,03,HH03,11,0,0
9/16/14,HH,04,HH04,11,0,0
5/20/15,RR,01,RR04,30,0,0.011333333
5/20/15,RR,02,RR03,30,0,0
5/20/15,RR,03,RR02,30,0,0
5/20/15,RR,04,RR01,30,0,0
5/20/15,HH,01,HH04,30,0,0
5/20/15,HH,02,HH03,30,0,0
5/20/15,HH,03,HH02,30,0,0
5/20/15,HH,04,HH01,30,0,0.011333333
6/2/15,RR,01,RR01,12,0,0
6/2/15,RR,02,RR02,12,1,0.056666667
6/2/15,RR,03,RR03,12,1,0.085
6/2/15,RR,04,RR04,12,0,0
6/2/15,HH,01,HH01,12,0,0
6/2/15,HH,02,HH02,12,1,0.085
6/2/15,HH,03,HH03,12,0,0
6/2/15,HH,04,HH04,12,0,0
6/16/15,RR,01,RR01,14,0,0
6/16/15,RR,02,RR02,14,0,0.024285714
6/16/15,RR,03,RR03,14,0,0.024285714
6/16/15,RR,04,RR04,14,0,0
6/16/15,HH,01,HH01,14,0,0
6/16/15,HH,02,HH02,14,0,0
6/16/15,HH,03,HH03,14,0,0
6/16/15,HH,04,HH04,14,0,0
7/1/15,RR,01,RR01,15,0,0.022666667
7/1/15,RR,02,RR02,15,0,0.022666667
7/1/15,RR,03,RR03,15,0,0
7/1/15,RR,04,RR04,15,0,0
7/1/15,HH,01,HH01,15,0,0
7/1/15,HH,02,HH02,15,0,0
7/1/15,HH,03,HH03,15,0,0
7/1/15,HH,04,HH04,15,0,0
7/19/15,RR,01,RR01,18,0,0
7/19/15,RR,02,RR02,18,0,0
7/19/15,RR,03,RR03,18,0,0
7/19/15,RR,04,RR04,18,0,0
7/19/15,HH,01,HH01,18,0,0
7/19/15,HH,02,HH02,18,0,0
7/19/15,HH,03,HH03,18,0,0
7/19/15,HH,04,HH04,18,0,0
7/27/15,RR,01,RR01,8,0,0
7/27/15,RR,02,RR02,8,0,0
7/27/15,RR,03,RR03,8,0,0
7/27/15,RR,04,RR04,8,0,0
7/27/15,HH,01,HH01,8,0,0
7/27/15,HH,02,HH02,8,0,0
7/27/15,HH,03,HH03,8,0,0
7/27/15,HH,04,HH04,8,0,0
8/13/15,RR,01,RR01,17,0,0
8/13/15,RR,02,RR02,17,0,0
8/13/15,RR,03,RR03,17,0,0
8/13/15,RR,04,RR04,17,0,0
8/13/15,HH,01,HH01,17,0,0
8/13/15,HH,02,HH02,17,0,0
8/13/15,HH,03,HH03,17,0,0
8/13/15,HH,04,HH04,17,0,0
8/27/15,RR,01,RR01,14,0,0
8/27/15,RR,02,RR02,14,0,0
8/27/15,RR,03,RR03,14,0,0
8/27/15,RR,04,RR04,14,0,0
8/27/15,HH,01,HH01,14,0,0
8/27/15,HH,02,HH02,14,0,0
8/27/15,HH,03,HH03,14,0,0
8/27/15,HH,04,HH04,14,0,0
9/8/15,RR,01,RR01,12,0,0
9/8/15,RR,02,RR02,12,0,0
9/8/15,RR,03,RR03,12,0,0
9/8/15,RR,04,RR04,12,0,0
9/8/15,HH,01,HH01,12,0,0
9/8/15,HH,02,HH02,12,0,0
9/8/15,HH,03,HH03,12,1,0.056666667
9/8/15,HH,04,HH04,12,0,0
5/3/16,RR,01,RR01,13,4,0.269230769
5/3/16,RR,02,RR02,13,0,0
5/3/16,RR,03,RR03,13,2,0.153846154
5/3/16,RR,04,RR04,13,1,0.051282051
5/3/16,HH,01,HH01,13,0,0
5/3/16,HH,02,HH02,13,1,0.076923077
5/3/16,HH,03,HH03,13,0,0
5/3/16,HH,04,HH04,13,0,0
5/17/16,RR,01,RR01,14,12,0.857142857
5/17/16,RR,02,RR02,14,0,0
5/17/16,RR,03,RR03,14,27,1.892857143
5/17/16,RR,04,RR04,14,16,1.142857143
5/17/16,HH,01,HH01,14,0,0
5/17/16,HH,02,HH02,14,13,0.928571429
5/17/16,HH,03,HH03,14,0,0
5/17/16,HH,04,HH04,14,0,0
6/2/16,RR,01,RR01,16,13,0.841666667
6/2/16,RR,02,RR02,16,14,0.886755951
6/2/16,RR,03,RR03,16,7,0.465922618
6/2/16,RR,04,RR04,16,9,0.586160713
6/2/16,HH,01,HH01,16,6,0.3625
6/2/16,HH,02,HH02,16,4,0.229166667
6/2/16,HH,03,HH03,16,10,0.642857143
6/2/16,HH,04,HH04,16,11,0.697916667
6/22/16,RR,01,RR01,20,1,0.05
6/22/16,RR,02,RR02,20,0,0
6/22/16,RR,03,RR03,20,0,0
6/22/16,RR,04,RR04,20,1,0.05
6/22/16,HH,01,HH01,20,0,0
6/22/16,HH,02,HH02,20,0,0
6/22/16,HH,03,HH03,20,0,0
6/22/16,HH,04,HH04,20,0,0
7/5/16,RR,01,RR01,13,0,0
7/5/16,RR,02,RR02,13,0,0
7/5/16,RR,03,RR03,13,0,0
7/5/16,RR,04,RR04,13,0,0
7/5/16,HH,01,HH01,13,0,0
7/5/16,HH,02,HH02,13,0,0
7/5/16,HH,03,HH03,13,0,0
7/5/16,HH,04,HH04,13,0,0
7/20/16,RR,01,RR01,15,0,0
7/20/16,RR,02,RR02,15,0,0
7/20/16,RR,03,RR03,15,0,0
7/20/16,RR,04,RR04,15,0,0
7/20/16,HH,01,HH01,15,0,0
7/20/16,HH,02,HH03,15,0,0
7/20/16,HH,03,HH04,15,0,0
7/20/16,HH,04,HH02,15,0,0
8/2/16,RR,01,RR01,13,0,0
8/2/16,RR,02,RR02,13,0,0
8/2/16,RR,03,RR03,13,0,0
8/2/16,RR,04,RR04,13,0,0
8/2/16,HH,01,HH01,13,0,0
8/2/16,HH,02,HH02,13,0,0
8/2/16,HH,03,HH03,13,0,0
8/2/16,HH,04,HH04,13,0,0
8/23/16,RR,01,RR01,21,0,0
8/23/16,RR,02,RR02,21,0,0
8/23/16,RR,03,RR03,21,0,0
8/23/16,RR,04,RR04,21,0,0
8/23/16,HH,01,HH01,21,0,0
8/23/16,HH,02,HH02,21,0,0
8/23/16,HH,03,HH03,21,0,0
8/23/16,HH,04,HH04,21,0,0
9/15/16,RR,01,RR01,22,0,0
9/15/16,RR,02,RR02,22,0,0
9/15/16,RR,03,RR03,22,0,0
9/15/16,HH,01,HH01,22,0,0
9/15/16,HH,02,HH02,22,0,0
9/15/16,HH,03,HH03,22,0,0
9/15/16,HH,04,HH04,22,0,0
5/10/17,RR,01,RR01,11,0,0
5/10/17,RR,02,RR02,11,1,0.090909091
5/10/17,RR,03,RR03,11,5,0.454545455
5/10/17,RR,04,RR04,11,0,0
5/10/17,HH,01,HH01,11,0,0
5/10/17,HH,02,HH02,11,0,0
5/10/17,HH,03,HH03,11,0,0
5/10/17,HH,04,HH04,11,3,0.272727273
5/25/17,RR,01,RR01,15,1,0.066666667
5/25/17,RR,02,RR02,15,0,0
5/25/17,RR,03,RR03,15,6,0.4
5/25/17,RR,04,RR04,15,3,0.222222222
5/25/17,HH,01,HH01,15,6,0.4
5/25/17,HH,02,HH02,15,0,0
5/25/17,HH,03,HH03,15,0,0
5/25/17,HH,04,HH04,15,2,0.146666667
6/8/17,RR,01,RR01,14,32,0.333333333
6/8/17,RR,02,RR02,14,0,0
6/8/17,RR,03,RR03,14,63,1
6/8/17,RR,04,RR04,14,31,0.666666667
6/8/17,HH,01,HH01,14,16,0.666666667
6/8/17,HH,02,HH02,14,0,0
6/8/17,HH,03,HH03,14,0,0
6/8/17,HH,04,HH04,14,11,0.2
6/19/17,RR,01,RR01,11,0,0
6/19/17,RR,02,RR02,11,1,0.090909091
