"ID","year","julian","Site.Code","Date","Site","Collection","Mooring.Code","Sampling.Interval","SFLA_count","SFLA_settlement_rate","marine_reserve","date","temp_index","temp_c_mid","cdd_8","rolling8d","cdd_16","rolling16d"
"2011_173_OR",2011,173,"OR",2011-06-22,"OR",1,"OR01",16,0,0,"Otter Rock","2011-06-22",-0.474725429129879,9.3374001310656,79.0019574861401,-0.158386394067264,164.886205800711,0.0946069221071303
"2011_189_NA",2011,189,NA,2011-07-08,"OR",2,"OR03",16,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2011_189_NA",2011,189,NA,2011-07-08,"CF",1,"CF01",16,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2011_189_OR",2011,189,"OR",2011-07-08,"OR",1,"OR02",16,0,0,"Otter Rock","2011-07-08",-1.33657708564113,7.87206652048649,73.7329912102276,-0.545761262170038,149.401082299189,-0.474626904780342
"2011_189_OR",2011,189,"OR",2011-07-08,"OR",3,"OR01",16,0,0,"Otter Rock","2011-07-08",-1.33657708564113,7.87206652048649,73.7329912102276,-0.545761262170038,149.401082299189,-0.474626904780342
"2011_206_OR",2011,206,"OR",2011-07-25,"OR",3,"OR01",17,0,0,"Otter Rock","2011-07-25",-0.679327233059351,8.98953295715241,89.4639796655303,0.6107824048216,179.224503212234,0.621683371049193
"2011_206_OR",2011,206,"OR",2011-07-25,"OR",1,"OR02",17,0,0,"Otter Rock","2011-07-25",-0.679327233059351,8.98953295715241,89.4639796655303,0.6107824048216,179.224503212234,0.621683371049193
"2011_214_NA",2011,214,NA,2011-08-02,"OR",3,"OR04",8,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2011_214_OR",2011,214,"OR",2011-08-02,"OR",1,"OR02",8,0,0,"Otter Rock","2011-08-02",-1.20344672199851,8.09841683838671,66.5398016031657,-1.07460520030879,156.003781268696,-0.231911397743597
"2011_214_OR",2011,214,"OR",2011-08-02,"OR",2,"OR01",8,0,0,"Otter Rock","2011-08-02",-1.20344672199851,8.09841683838671,66.5398016031657,-1.07460520030879,156.003781268696,-0.231911397743597
"2011_214_ORF",2011,214,"ORF",2011-08-02,"CF",1,"CF03",8,0,0,"Otter Rock","2011-08-02",-1.20344672199851,8.09841683838671,66.5398016031657,-1.07460520030879,156.003781268696,-0.231911397743597
"2011_223_NA",2011,223,NA,2011-08-11,"OR",3,"OR04",9,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2011_223_OR",2011,223,"OR",2011-08-11,"OR",1,"OR02",9,0,0,"Otter Rock","2011-08-11",-0.855387084416531,8.69019325557133,67.7465355263673,-0.985886015205563,133.242487048237,-1.06861758305428
"2011_223_OR",2011,223,"OR",2011-08-11,"OR",2,"OR01",9,0,0,"Otter Rock","2011-08-11",-0.855387084416531,8.69019325557133,67.7465355263673,-0.985886015205563,133.242487048237,-1.06861758305428
"2011_223_ORF",2011,223,"ORF",2011-08-11,"CF",1,"CF03",9,0,0,"Otter Rock","2011-08-11",-0.855387084416531,8.69019325557133,67.7465355263673,-0.985886015205563,133.242487048237,-1.06861758305428
"2011_223_ORF",2011,223,"ORF",2011-08-11,"CF",2,"CF04",9,0,0,"Otter Rock","2011-08-11",-0.855387084416531,8.69019325557133,67.7465355263673,-0.985886015205563,133.242487048237,-1.06861758305428
"2011_223_ORF",2011,223,"ORF",2011-08-11,"CF",3,"CF05",9,0,0,"Otter Rock","2011-08-11",-0.855387084416531,8.69019325557133,67.7465355263673,-0.985886015205563,133.242487048237,-1.06861758305428
"2011_241_NA",2011,241,NA,2011-08-29,"OR",3,"OR04",18,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"2011_241_OR",2011,241,"OR",2011-08-29,"OR",1,"OR02",18,0,0,"Otter Rock","2011-08-29",-0.985596369705257,8.46880940058704,72.0454560753026,-0.669828995019052,139.643393165977,-0.833319990200686
