"","xvar","yvar","corr"
"1","DDpre","DDpre",1
"2","DDpre","DDegg",0.826640829210893
"3","DDpre","DDlarv",0.866390044361639
"4","DDpre","DDpjuv",0.698460297293701
"5","DDpre","DDben",0.318784366319759
"6","DDpre","Tcop",0.313347730936526
"7","DDpre","Tpart",0.88168000708705
"8","DDpre","MLDpart",0.642895079380659
"9","DDpre","MLDlarv",0.568608397721539
"10","DDpre","MLDpjuv",0.0677770248335996
"11","DDpre","CSTlarv",-0.320710022718099
"12","DDpre","CSTpjuv",-0.162401861763367
"13","DDpre","LSTlarv",0.406077445015834
"14","DDpre","LSTpjuv",0.123813038005827
"15","DDpre","HCIlarv",-0.746949110265016
"16","DDpre","HCIpjuv",-0.543795040943212
"17","DDpre","ONIpre",0.614731827099757
"18","DDpre","ONIlarv",0.652679121129883
"19","DDpre","ONIpjuv",0.205885662811477
"20","DDpre","PDOlarv",0.724362184701111
"21","DDpre","PDOpjuv",0.424840920610403
"22","DDpre","CutiSTI",0.226239276433523
"23","DDpre","CutiTUMI",0.0580203424501789
"24","DDpre","BeutiTUMI",-0.220563718872761
"25","DDpre","BeutiSTI",0.201413385128733
"26","DDegg","DDpre",0.826640829210893
"27","DDegg","DDegg",1
"28","DDegg","DDlarv",0.630775521020128
"29","DDegg","DDpjuv",0.413927078042995
"30","DDegg","DDben",0.159779718313338
"31","DDegg","Tcop",0.224871538629027
"32","DDegg","Tpart",0.661318702454816
"33","DDegg","MLDpart",0.526298067992708
"34","DDegg","MLDlarv",0.508178080519428
"35","DDegg","MLDpjuv",0.154176109872052
"36","DDegg","CSTlarv",-0.0680057888498597
"37","DDegg","CSTpjuv",-0.0503600403682736
"38","DDegg","LSTlarv",0.206003008563757
"39","DDegg","LSTpjuv",-0.0434043227996142
"40","DDegg","HCIlarv",-0.504510687238467
"41","DDegg","HCIpjuv",-0.340032519457942
"42","DDegg","ONIpre",0.389367623798719
"43","DDegg","ONIlarv",0.413701528611518
"44","DDegg","ONIpjuv",0.17019071549859
"45","DDegg","PDOlarv",0.537280798222322
"46","DDegg","PDOpjuv",0.24046351482148
"47","DDegg","CutiSTI",0.126458212589915
"48","DDegg","CutiTUMI",0.12783227596769
"49","DDegg","BeutiTUMI",-0.0359296176767864
"50","DDegg","BeutiSTI",0.147693874199526
"51","DDlarv","DDpre",0.866390044361639
"52","DDlarv","DDegg",0.630775521020128
"53","DDlarv","DDlarv",1
"54","DDlarv","DDpjuv",0.747843602428964
"55","DDlarv","DDben",0.32254990427581
"56","DDlarv","Tcop",0.29602271487204
"57","DDlarv","Tpart",0.978443388288807
"58","DDlarv","MLDpart",0.556296445373422
"59","DDlarv","MLDlarv",0.460503610825679
"60","DDlarv","MLDpjuv",0.11840064162278
