"","year","DDpre","DDegg","DDlarv","DDpjuv","DDben","Tcop","Tpart","MLDpart","MLDlarv","MLDpjuv","CSTlarv","CSTpjuv","LSTlarv","LSTpjuv","HCIlarv","HCIpjuv","ONIpre","ONIlarv","ONIpjuv","PDOlarv","PDOpjuv","CutiSTI","CutiTUMI","BeutiTUMI","BeutiSTI","Datatreatment","Y_rec","sd","type","fit","se.fit","residuals","uprP","lwrP","uprCI","lwrCI","se.p"
"1",1994,-0.311448442813526,-0.797763815706551,0.0975904590158564,0.451844934062051,-0.154727017903449,-0.355747859018007,0.0126262106421112,-0.35287715504911,0.0931707808999025,-0.448708750845329,0.21439316184618,0.682775046453496,0.267108375297898,-0.729629553967618,-0.652379297049152,-0.889529347354604,0.190898471191236,0.214124987042147,0.752685980986134,0.425252913321666,0.205944045870093,0.332578653322285,-0.725484662017261,-1.36813736729167,0.30715632046581,"Expanded PacFIN",0.109818,0.281596,"Main_RecrDev",-0.174461284176166,0.142027592875607,0.284279284176166,0.253477309295383,-0.602399877647715,0.109593901575048,-0.45851646992738,0.218336017077321
"2",1995,0.22637653199497,-0.886624450523056,1.02524748259615,0.468722910525234,0.344101616150623,0.885326564273665,0.708134833202751,0.231768803709118,-0.0645196635250908,-0.166647170149296,0.157999875037582,1.26092110445154,0.763289708037904,-0.792771811046813,-0.941793651394858,-0.483120845300919,0.819247671036998,0.814864534021504,-0.125178709854662,0.638037691990437,1.23375172639821,0.0544827341623443,-1.12520222122395,-1.23432210904879,0.11789440284888,"Expanded PacFIN",0.229606,0.248519,"Main_RecrDev",0.14111704157302,0.141596601516529,0.0884889584269794,0.567757029384444,-0.285522946238403,0.424310244606078,-0.142076161460037,0.217673463169094
"3",1996,0.669759909019416,0.160097428298941,0.801124111040193,0.203337436616756,-0.834263057145908,0.164228074827902,1.02116495837887,0.268524184843776,-0.0243583893814468,1.00034392270922,1.11900250499891,0.991165817978833,-0.520193339220747,-0.757183050685706,-1.22618925971145,-0.26025166675535,-0.766586023811829,-0.725645789420609,-0.575176576588179,0.987612685517703,1.0615040303981,1.27382637970978,-0.305035595927089,-1.30352804937816,1.25346590855046,"Expanded PacFIN",-0.455673,0.341581,"Main_RecrDev",-0.606494789957088,0.188977084141139,0.150821789957088,-0.0370942534251252,-1.17589532648905,-0.22854062167481,-0.984448958239367,0.29051047782243
"4",1997,-0.637298278441025,-0.858897919042892,-0.303620683664147,1.41537780651028,3.01527359132572,-0.661428894717444,-0.385691153096489,-0.612337561524913,-0.801210883472893,-0.937556470346528,1.12939609768629,0.407725119468661,-1.64901456220221,0.453053497837026,0.0218055861954708,-1.35140302958931,-0.342899134772973,-0.202229154428694,2.13218763802167,0.592440953704272,1.93220666951953,0.546498591137624,-2.46473969575976,-1.77303059341114,0.231451553419038,"Expanded PacFIN",-0.0616967,0.276383,"Main_RecrDev",-0.117841402461322,0.227000438449312,0.056144702461323,0.56612603218009,-0.801808837102734,0.336159474437302,-0.571842279359947,0.348962976857863
"5",1998,3.10421827430892,2.25441356246375,2.38059164753133,1.85992279458988,0.272660610371868,2.93007118743363,2.23829809209309,4.13757638494104,3.84524028201711,0.246260890193115,-0.428107414856108,0.0288236119194591,1.72296541422463,0.259735359088481,-1.52062236008627,-1.14063534490142,2.24350585735406,2.07582279104748,-0.20632586615087,2.00593984057539,0.236229355056925,-0.384053138359101,-0.161199746225162,-1.17854864245201,-0.399421505304063,"Expanded PacFIN",0.376308,0.23449,"Main_RecrDev",0.342396957673819,0.220605985475386,0.0339110423261808,1.0070974797648,-0.322303564417166,0.783608928624591,-0.0988150132769531,0.339132919434176
"6",1999,0.0662474607681921,0.310216394117453,-0.84680326184959,-1.07395400137414,-0.475407559164465,0.474081797164781,-0.999793365608222,1.12902663098571,2.43346763912936,1.12786940555171,0.940853859162319,0.892923162433707,1.46747418454874,-1.30571052659291,1.41534406694676,1.37950075096001,-1.3350924427199,-1.33828116901342,-1.92517017678873,-0.57280902471995,-1.16068053118571,0.118658715506946,0.408576625825263,0.222906113245479,0.193599169895652,"Expanded PacFIN",0.394028,0.242449,"Main_RecrDev",0.365056727415578,0.214883146222567,0.0289712725844217,1.01251395381359,-0.282400498982434,0.794823019860711,-0.0647095650295555,0.330335319590822
"7",2000,-0.323145415633298,-0.0797357375121513,0.101099298536446,-0.179986278213555,-0.903815364724054,-0.625936049424468,-0.160109138324601,-0.606342431000204,-0.117156098052743,-0.922279977840304,0.244800200322371,1.11148012889533,0.183831137405285,-0.800614843027952,0.21251793530189,0.222799629730295,-1.37698238937628,-1.40370824838741,-1.17640323460099,-0.501880765163693,-0.454654260767685,-0.865372998443615,-0.286747535176897,-0.763658564614758,-0.967207258154854,"Expanded PacFIN",0.700522,0.177645,"Main_RecrDev",0.276474982034922,0.125852761431395,0.424047017965078,0.655677731451591,-0.102727767381747,0.528180504897711,0.0247694591721325,0.193470790518709
"8",2001,-0.719684685720378,-0.940130047188225,-0.483948611462458,-0.890641188787119,-0.669142096617484,-0.593223410147777,-0.547369012941111,-0.299705575736987,-0.503120137828061,0.328399707028876,-0.300261183302435,0.401016164409184,-0.677678698369402,-0.614365944556991,0.525353104450139,1.31294253474279,-0.597829381567539,-0.49962496976501,-0.328046600595182,0.31886052398728,-0.672329920548041,-1.41086883987273,1.15516277529387,0.853548904867292,-1.61069777805242,"Expanded PacFIN",-0.0805439,0.262083,"Main_RecrDev",0.0298917700461213,0.149888471819591,-0.110435670046121,0.481515715149906,-0.421732175057663,0.329668713685303,-0.269885173593061,0.230420380154992
"9",2002,-0.84680332870374,-0.432679612988721,-1.08974067971842,-1.52122296662496,-0.611314895527593,-0.746664990985954,-1.00788456191384,-0.46199658317418,-0.812154008344328,0.240283130132509,0.170587275303729,0.529958458270707,-0.983080266272104,-1.31956878322504,1.2313233792125,1.28268880009859,-0.12028398968476,0.142749991361431,1.09202863458846,-0.562676416211914,-0.22940727369062,-1.12207692382202,1.68347613357732,1.4122767589624,-0.87888502993362,"Expanded PacFIN",-0.639367,0.303338,"Main_RecrDev",-0.725785522799574,0.231383377617938,0.0864185227995738,-0.0286120006288491,-1.4229590449703,-0.263018767563699,-1.18855227803545,0.355700776617717
"10",2003,-0.225606700710834,0.318525279190508,0.834702020981819,0.0942571977069811,-0.277007250531732,-2.145882801146,0.934125565879327,-0.058612800549692,0.0299195166598071,-0.263398270362956,0.667464498425495,-0.0328793420909318,-0.752283007216916,-0.272845561732793,-1.32823709563681,-0.363114364545613,1.03228797117518,0.672114542660072,-0.0514085677671999,1.60570180450794,0.6829376655627,0.642762563154527,0.577854543512996,-0.876958850216519,0.811854767444291,"Expanded PacFIN",-0.216303,0.234503,"Main_RecrDev",-0.211949355571399,0.135120553589457,-0.00435364442860048,0.195177868663212,-0.619076579806011,0.0582917516075144,-0.482190462750313,0.207717971548271
