,year,DDpre,DDegg,DDlarv,DDpjuv,DDben,Tcop,Tpart,MLDpart,MLDlarv,MLDpjuv,CSTlarv,CSTpjuv,LSTlarv,LSTpjuv,HCIlarv,HCIpjuv,ONIpre,ONIlarv,ONIpjuv,PDOlarv,PDOpjuv,CutiSTIpjuv,CutiTUMIpjuv,BeutiTUMIpjuv,BeutiSTIpjuv,ZOOpjuv,ZOOben,Y_rec,sd,bakun_sti,Type
1,1993,30563.24434,NA,29306.65236,46516.10059,35567.78606,NA,10.07129035,14.91123668,12.17047033,11.1976823,0.010571919,0.009625221,0.007618362,-0.090959099,0.573462415,0.200683371,0.062222222,0.4,0.502,0.55,1.94,1.802862071,-0.95281717,-1.147605047,1.545905762,NA,NA,-0.304743,0.34579,1.992749173,Main
2,1994,32852.77689,30939.84855,28754.12298,41813.07803,37359.17155,10.71274509,10.02370941,13.92387538,12.03295811,10.84533222,0.014388176,0.010791482,-0.022227991,-0.120476506,0.295558087,0.170615034,0.135555556,0.12,0.402,0.55,0.134,0.345430266,-0.700270244,-1.167578504,0.369140162,NA,NA,0.109818,0.281596,1.044991449,Main
3,1995,34521.69972,30534.47165,32563.92312,41866.28126,38979.66309,11.45879821,10.56641062,15.05859704,11.84879909,10.91463808,0.013977656,0.014952145,-0.008593849,-0.1220054,0.197038724,0.262414579,0.718888889,0.625,-0.074,0.76,1.22,0.058360364,-1.112131973,-1.033687198,0.185270537,NA,NA,0.229606,0.248519,-0.623886282,Main
4,1996,35897.56115,35309.55426,31643.46951,41029.72581,35151.63507,11.02532076,10.81066615,15.12993445,11.89570149,11.20138152,0.020973353,0.013010835,-0.043861582,-0.121143672,0.10022779,0.312756264,-0.753333333,-0.67,-0.318,1.105,1.038,1.317051469,-0.267047146,-1.102932466,1.288488287,-0.477076114,0.21123601,-0.455673,0.341581,1.106801736,Main
5,1997,31841.63339,30660.95843,27106.38655,44850.35308,47657.21548,10.52898956,9.712904754,13.42029653,10.98845313,10.72521659,0.021049014,0.008812069,-0.074879495,-0.091839617,0.525056948,0.066287016,-0.36,-0.23,1.15,0.715,1.958,0.566253266,-2.492367111,-1.45439813,0.295592312,-0.331402624,-0.863642725,-0.0616967,0.276383,1.044991449,Main
6,1998,43451.92052,44863.69919,38130.19412,46251.66013,38747.58029,12.68796551,11.76038784,22.63926084,16.41481818,11.01609444,0.009711041,0.006085281,0.017776259,-0.096520525,0,0.113895216,2.041111111,1.685,-0.118,2.11,0.166,-0.394326787,-0.118841294,-0.977882032,-0.317306439,-0.96385214,-0.121386475,0.376308,0.23449,-1.324402861,Main
7,1999,34024.80375,35994.388,24875.58679,37003.4123,36317.41077,11.21158464,9.233724478,16.80005762,14.76607735,11.23271603,0.019676505,0.012303826,0.010755834,-0.134425438,0.999430524,0.683143508,-1.281111111,-1.185,-1.05,-0.435,-1.31,0.124607265,0.468245954,0.424369205,0.258818387,-0.075731668,0.265828659,0.394028,0.242449,-0.66509314,Main
8,2000,32816.48005,34215.4497,28768.53345,39821.40216,34925.68788,10.55032555,9.888925048,13.43193229,11.78732755,10.7289702,0.014609526,0.013876684,-0.024516296,-0.122195307,0.589977221,0.421867882,-1.32,-1.24,-0.644,-0.365,-0.564,-0.891178539,-0.24820346,-0.562756161,-0.868915314,0.006219416,0.451691998,0.700522,0.177645,1.436456596,Main
9,2001,31585.98041,30290.38232,26365.79671,37581.25603,35688.04598,10.56999026,9.586748489,14.02707449,11.33657886,11.03627692,0.010641707,0.008763787,-0.048188987,-0.117685571,0.696469248,0.668109339,-0.596666667,-0.48,-0.184,0.445,-0.794,-1.454277191,1.237514792,1.055370407,-1.494072039,0.125937443,0.491130715,-0.0805439,0.262083,0.200250869,Main
10,2002,31191.51899,32605.34085,23877.86567,35593.51866,35875.90305,10.47775117,9.227410966,13.71208879,10.97567318,11.01462564,0.014069287,0.009691728,-0.056580856,-0.134760995,0.936788155,0.661275626,-0.153333333,0.06,0.586,-0.425,-0.326,-1.15616614,1.781879302,1.614415801,-0.783109489,0.285525971,0.489711442,-0.639367,0.303338,-0.376645137,Main
11,2003,33119.15211,36032.29264,31781.37083,40685.88005,36961.93276,9.63663255,10.74274983,14.49500417,11.95909003,10.89086519,0.017686345,0.005641232,-0.050238975,-0.109416169,0.065489749,0.28952164,0.916666667,0.505,-0.034,1.715,0.638,0.665623617,0.642666853,-0.676120838,0.859459162,-0.025271418,-0.141425013,-0.216303,0.234503,0.035423439,Main
12,2004,33193.7002,33469.34008,28256.60775,41533.00082,37092.50756,10.72786966,10.0024552,14.91791358,11.55575493,10.66624677,0.020316137,0.009037274,-0.060297616,-0.113780496,0.357630979,0.070615034,0.272222222,0.27,0.346,0.415,0.294,-0.791808189,1.035970406,-0.646362165,-0.623755814,0.205682483,-0.34540399,-0.101498,0.213368,-0.129403991,Main
13,2005,34373.12429,31274.63896,31932.62146,45000.06575,36357.12114,11.20249846,10.50944406,13.70092157,11.10947922,11.41125748,0.008881793,0.00842437,-0.016785936,-0.102039998,0.219248292,0.194077449,0.611111111,0.515,0.126,0.755,0.65,1.51579217,0.697822271,-0.747369378,0.356882187,-0.99377214,0.135073788,-0.771606,0.314907,1.127405164,Main
14,2006,33800.05891,34084.84676,27933.5669,40194.30199,35594.29644,10.51602317,10.24741893,16.17918397,12.69329792,11.1129268,0.014047616,0.003996169,-0.024230103,-0.096997534,0.523348519,0.407061503,-0.466666667,-0.67,-0.028,0.43,0.344,0.257101065,3.281250142,0.499173849,0.614299662,-0.176974584,0.046878109,0.450327,0.144747,-0.253024564,Main
