year,DDpre,DDegg,DDlarv,DDpjuv,DDben,Tcop,Tpart,MLDpart,MLDlarv,MLDpjuv,CSTlarv,CSTpjuv,LSTlarv,LSTpjuv,hci1_larv,hci1_pjuv,hci2_larv,hci2_pjuv,oni_pre,oni_larv,oni_pjuv,pdo_larv,pdo_pjuv,beuti_larv,beuti_pjuv,lusi_annual
1993,30563.244344756,,29306.6523604759,46516.1005924673,35567.7860598181,,10.0712903499759,14.9112366766401,12.1704703312698,11.1976823046405,0.0105719193992262,0.0096252214398488,0.0076183623707854,-0.0909590989088452,0.573462414578588,0.200683371298405,0.573462414578588,0.200683371298405,0.0622222222222222,0.4,0.502,0.55,1.94,-1.68,-0.6556,162
1994,32852.7768909853,30939.8485535248,28754.1229776144,41813.0780317008,37359.171547449,10.712745093639,10.0237094053875,13.9238753843149,12.0329581128068,10.8453322238145,0.0143881755485467,0.0107914819558838,-0.0222279911591677,-0.120476505553369,0.295558086560364,0.170615034168565,0.295558086560364,0.170615034168565,0.135555555555556,0.12,0.402,0.55,0.134,-2.294,0.6098,177
1995,34521.6997183677,30534.4716528118,32563.9231192102,41866.2812579962,38979.6630940637,11.4587982102988,10.5664106153729,15.0585970403541,11.8487990916125,10.9146380757478,0.0139776559183116,0.0149521448916767,-0.00859384878068802,-0.122005399688879,0.197038724373576,0.262414578587699,0.197038724373576,0.262414578587699,0.718888888888889,0.625,-0.074,0.76,1.22,-2.983,1.1764,166
1996,35897.5611486247,35309.5542559662,31643.4695125986,41029.7258051476,35151.635066628,11.0253207611415,10.8106661455571,15.1299344501329,11.895701493263,11.2013815180875,0.0209733527744847,0.0130108349395588,-0.043861582314949,-0.121143671813885,0.100227790432802,0.312756264236902,0.100227790432802,0.312756264236902,-0.753333333333333,-0.67,-0.318,1.105,1.038,-1.632,0.3138,134
1997,31841.6333883264,30660.958430925,27106.3865514802,44850.3530826236,47657.2154835112,10.5289895637429,9.71290475355911,13.4202965261222,10.9884531300022,10.7252165871827,0.0210490136751295,0.00881206872313022,-0.0748794949201618,-0.0918396174427835,0.525056947608201,0.0662870159453302,0.525056947608201,0.0662870159453302,-0.36,-0.23,1.15,0.715,1.958,-1.0885,0.5078,107
1998,43451.9205183725,44863.6991919773,38130.194123563,46251.6601256487,38747.5802940615,12.6879655126706,11.7603878353247,22.639260838344,16.4148181819886,11.0160944445514,0.00971104053605615,0.00608528095418472,0.0177762590022978,-0.0965205249996315,0,0.113895216400911,0,0.113895216400911,2.04111111111111,1.685,-0.118,2.11,0.166,-1.1195,0.7882,192
1999,34024.8037488553,35994.3879989939,24875.5867937746,37003.4123000288,36317.4107685062,11.2115846390095,9.2337244778179,16.800057618426,14.766077354488,11.2327160319914,0.0196765050176307,0.0123038255225793,0.0107558341168627,-0.134425438042553,0.999430523917995,0.683143507972665,0.999430523917995,0.683143507972665,-1.28111111111111,-1.185,-1.05,-0.435,-1.31,-14.999,3.0198,206
2000,32816.4800549364,34215.4496985704,28768.5334515534,39821.4021568816,34925.6878798696,10.5503255497901,9.88892504767876,13.4319322941102,11.7873275515747,10.7289702008274,0.014609525754927,0.0138766841454216,-0.0245162955114894,-0.122195307135518,0.58997722095672,0.421867881548975,0.58997722095672,0.421867881548975,-1.32,-1.24,-0.644,-0.365,-0.564,-1.0095,1.4798,152
2001,31585.9804111943,30290.3823208592,26365.7967131783,37581.2560339509,35688.0459753449,10.5699902587103,9.58674848863874,14.0270744943562,11.3365788577839,11.0362769179165,0.0106417073929213,0.00876378716889994,-0.048188987435807,-0.117685570737485,0.696469248291572,0.668109339407745,0.696469248291572,0.668109339407745,-0.596666666666667,-0.48,-0.184,0.445,-0.794,4.783,2.1084,175
2002,31191.5189881829,32605.3408490518,23877.8656687053,35593.5186601426,35875.9030544885,10.4777511726408,9.22741096582302,13.7120887884525,10.9756731840484,11.0146256392121,0.0140692870045215,0.00969172819337858,-0.0565808562997032,-0.134760994844453,0.936788154897494,0.66127562642369,0.936788154897494,0.66127562642369,-0.153333333333333,0.06,0.586,-0.425,-0.326,2.2475,4.0754,198
2003,33119.1521057869,36032.292636121,31781.3708311284,40685.8800496051,36961.932756492,9.6366325503777,10.7427498290358,14.4950041707602,11.9590900251938,10.8908651893311,0.0176863451403422,0.00564123202017736,-0.0502389754061156,-0.109416169285145,0.0654897494305239,0.289521640091116,0.0654897494305239,0.289521640091116,0.916666666666667,0.505,-0.034,1.715,0.638,-1.31,0.9302,154
2004,33193.7002019063,33469.3400797811,28256.6077462897,41533.0008189358,37092.5075579876,10.7278696616161,10.0024552011161,14.9179135770628,11.5557549308917,10.6662467728218,0.0203161367078756,0.00903727390063218,-0.0602976164757289,-0.113780495560843,0.357630979498861,0.0706150341685649,0.357630979498861,0.0706150341685649,0.272222222222222,0.27,0.346,0.415,0.294,0.0645,0.65,179
2005,34373.124289114,31274.6389635969,31932.6214577808,45000.065750119,36357.1211388088,11.2024984649623,10.5094440556219,13.7009215748801,11.1094792181848,11.4112574810066,0.00888179294365051,0.00842437001750597,-0.0167859357748379,-0.102039998334512,0.219248291571754,0.194077448747153,0.219248291571754,0.194077448747153,0.611111111111111,0.515,0.126,0.755,0.65,0.1305,0.638,130
2006,33800.0589103126,34084.8467640122,27933.5669021692,40194.3019882037,35594.2964403392,10.5160231692685,10.2474189319867,16.1791839715219,12.6932979202401,11.1129267965462,0.0140476156344322,0.00399616855046827,-0.0242301029172662,-0.0969975337063579,0.523348519362187,0.407061503416857,0.523348519362187,0.407061503416857,-0.466666666666667,-0.67,-0.028,0.43,0.344,-3.019,2.914,196
