year,DDpre,DDegg,DDlarv,DDpjuv,DDben,Tcop,Tpart,MLDpart,MLDlarv,MLDpjuv,CSTlarv,CSTpjuv,LSTlarv,LSTpjuv,hci1_larv,hci1_pjuv,hci2_larv,hci2_pjuv,oni_pre,oni_larv,oni_pjuv,pdo_larv,pdo_pjuv,lusi_annual,ZOOpjuvN,ZOObenN,ZOOpjuvS,ZOObenS,X,CutiSTIpjuv,CutiTUMIpjuv,BeutiTUMIpjuv,BeutiSTIpjuv,CHLpjuv,PPpjuv,bakun_sti
1993,30563.244344756,,29306.6523604759,46516.1005924673,35567.7860598181,10.712745093639,10.0712903499759,14.9112366775,12.170470335,11.197682304,0.0105719195,0.0096252214,0.0076183625,-0.0909590988,0.573462414578588,0.200683371298405,0.573462414578588,0.200683371298405,0.0622222222222222,0.4,0.502,0.55,1.94,162,,,,,6,1.86156134044624,-0.984309186526296,-1.14760504714424,1.54590576211518,,,2.21548624880941
1994,32852.7768909853,30939.8485535248,28754.1229776144,41813.0780317008,37359.171547449,11.4587982102988,10.0237094053875,13.923875385,12.032958115,10.845332224,0.0143881755,0.010791482,-0.0222279915,-0.1204765054,0.295558086560364,0.170615034168565,0.295558086560364,0.170615034168565,0.135555555555556,0.12,0.402,0.55,0.134,177,,,,,7,0.381042599729837,-0.725166986953714,-1.16757850371469,0.369140161592523,,,0.0918931431780964
1995,34521.6997183677,30534.4716528118,32563.9231192102,41866.2812579962,38979.6630940637,11.0253207611415,10.5664106153729,15.0585970425,11.84879909,10.914638074,0.013977656,0.014952145,-0.008593849,-0.1220054,0.197038724373576,0.262414578587699,0.197038724373576,0.262414578587699,0.718888888888889,0.625,-0.074,0.76,1.22,166,,,,,8,0.0894252720129687,-1.14778450214567,-1.03368719820603,0.185270536510858,,,-0.532693064360526
1996,35897.5611486247,35309.5542559662,31643.4695125986,41029.7258051476,35151.635066628,10.5289895637429,10.8106661455571,15.12993445,11.895701495,11.20138152,0.0209733525,0.0130108348,-0.043861582,-0.1211436718,0.100227790432802,0.312756264236902,0.100227790432802,0.312756264236902,-0.753333333333333,-0.67,-0.318,1.105,1.038,134,-0.4770761135,0.21123601,0.082171164,-0.02765,9,1.36805509354078,-0.280630249742413,-1.10293246554473,1.28848828700085,,,1.21614831674762
1997,31841.6333883264,30660.958430925,27106.3865514802,44850.3530826236,47657.2154835112,12.6879655126706,9.71290475355911,13.42029653,10.98845313,10.725216586,0.0210490135,0.0088120686,-0.074879495,-0.0918396176,0.525056947608201,0.0662870159453302,0.525056947608201,0.0662870159453302,-0.36,-0.23,1.15,0.715,1.958,107,-0.331402624,-0.86364272475,0.01720457,0.240013011,10,0.605363621050504,-2.56406453777478,-1.45439813031193,0.295592311559857,,,0.549923028706419
1998,43451.9205183725,44863.6991919773,38130.194123563,46251.6601256487,38747.5802940615,11.2115846390095,11.7603878353247,22.6392608375,16.41481818,11.016094444,0.0097110405,0.00608528103257613,0.017776259,-0.096520525,0,0.113895216400911,0,0.113895216400911,2.04111111111111,1.685,-0.118,2.11,0.166,192,-0.9638521398,-0.1213864745,0.5165477938,0.16896186375,11,-0.3704328216944,-0.128553994905883,-0.977882032256914,-0.317306438712359,-1.96633261194421,-2.08376023385954,-1.2405574329043
1999,34024.8037488553,35994.3879989939,24875.5867937746,37003.4123000288,36317.4107685062,10.5503255497901,9.2337244778179,16.80005762,14.766077355,11.232716032,0.019676505,0.0123038256,0.010755834,-0.134425438,0.999430523917995,0.683143507972665,0.999430523917995,0.683143507972665,-1.28111111111111,-1.185,-1.05,-0.435,-1.31,206,-0.0757316676,0.26582865875,-0.1976215038,-0.37250619225,12,0.156721578409169,0.473865060811717,0.42436920459518,0.258818386543524,-1.41518399632868,-1.02589420798273,-0.990722949888849
2000,32816.4800549364,34215.4496985704,28768.5334515534,39821.4021568816,34925.6878798696,10.5699902587103,9.88892504767876,13.4319322975,11.78732755,10.7289702,0.014609526,0.013876684,-0.0245162955,-0.1221953072,0.58997722095672,0.421867881548975,0.58997722095672,0.421867881548975,-1.32,-1.24,-0.644,-0.365,-0.564,152,0.0062194158,0.4516919975,-0.2757526508,-0.2232501735,13,-0.875155119665903,-0.261294459722918,-0.562756160657903,-0.868915313957353,-0.752807410964017,-0.678107852085354,0.883035672727018
2001,31585.9804111943,30290.3823208592,26365.7967131783,37581.2560339509,35688.0459753449,10.4777511726408,9.58674848863874,14.027074495,11.33657886,11.036276918,0.0106417075,0.0087637872,-0.0481889875,-0.1176855708,0.696469248291572,0.668109339407745,0.696469248291572,0.668109339407745,-0.596666666666667,-0.48,-0.184,0.445,-0.794,175,0.1259374426,0.491130715,-0.251882947,-0.255253948333333,14,-1.44717372403361,1.26322338670403,1.0553704074952,-1.49407203923501,-0.813529780083569,-0.616921840337265,0.30008854569097
2002,31191.5189881829,32605.3408490518,23877.8656687053,35593.5186601426,35875.9030544885,9.6366325503777,9.22741096582302,13.7120887875,10.975673185,11.014625638,0.014069287,0.0096917282,-0.056580856,-0.1347609948,0.936788154897494,0.66127562642369,0.936788154897494,0.66127562642369,-0.153333333333333,0.06,0.586,-0.425,-0.326,198,0.2855259712,0.48971144225,-0.2256779472,-0.142244155,15,-1.1443403452507,1.82180399838293,1.61441580078008,-0.783109488919243,2.32014829923524,2.4363253680305,-0.282858581345077
