"","year","CutiSTIpjuv","CutiTUMIpjuv","Year","BeutiTUMIpjuv","Year","BeutiSTIpjuv","CHLpjuv","PPpjuv","bakun_sti"
"1",1988,60.3333333333333,53.7966666666667,1988,620.35,1988,37,NA,NA,1.75745636328109
"2",1989,92.3333333333333,47.7013333333333,1989,616.25075,1989,92.3333333333333,NA,NA,-0.699249386370825
"3",1990,53.3333333333333,54.542,1990,751.94625,1990,53.3333333333333,NA,NA,-1.28219651340687
"4",1991,97,61.881,1991,687.62675,1991,97,NA,NA,-0.574332144863101
"5",1992,78,61.9486666666667,1992,557.8375,1992,60,NA,NA,0.30008854569097
"6",1993,137.666666666667,47.0093333333333,1993,556.325,1993,122,NA,NA,2.21548624880941
"7",1994,93.6666666666667,50.2526666666667,1994,554.0475,1994,90,NA,NA,0.0918931431780964
"8",1995,85,44.9633333333333,1995,571.2405,1995,85,NA,NA,-0.532693064360526
"9",1996,123,55.8163333333333,1996,562.728,1996,115,NA,NA,1.21614831674762
"10",1997,100.333333333333,27.2376666666667,1997,518.5025,1997,88,NA,NA,0.549923028706419
"11",1998,71.3333333333333,57.7196666666667,1998,579.05225,1998,71.3333333333333,1.53385364664818,932.86393885008,-1.2405574329043
"12",1999,87,65.2593333333333,1999,756.74725,1999,87,1.73050191620007,1049.52755379117,-0.990722949888849
"13",2000,56.3333333333333,56.0583333333333,2000,632.0835,2000,56.3333333333333,1.96683601123936,1087.88213982918,0.883035672727018
"14",2001,39.3333333333333,75.1386666666667,2001,837.096,2001,39.3333333333333,1.94517044142365,1094.6298575361,0.30008854569097
"15",2002,48.3333333333333,82.1296666666667,2002,908.08925,2002,58.6666666666667,3.06325793029907,1431.34816394143,-0.282858581345077
"16",2003,103.333333333333,67.4993333333333,2003,618.488,2003,103.333333333333,2.47282168990736,1276.08064906519,0.175171304183246
"17",2004,59.3333333333333,72.5503333333333,2004,622.50375,2004,63,2.29822711574915,1233.00635499104,-0.0330240983296281
"18",2005,129,68.2076666666667,2005,609.972,2005,89.6666666666667,2.19210848880258,1145.20488463926,1.21614831674762
"19",2006,91,101.385333333333,2006,767.96325,2006,96.6666666666667,2.68510583058402,1275.81902204254,-0.157941339837353
"20",2007,99.3333333333333,50.8,2007,692.04975,2007,99.3333333333333,2.53620292098554,1337.91422516012,0.175171304183246
"21",2008,41.3333333333333,67.4373333333333,2008,987.68,2008,41.3333333333333,2.5344505087907,1252.41122521593,-1.03236203039142
"22",2009,30,56.2323333333333,2009,845.0955,2009,30,2.89176107198212,1300.17185791087,-1.2405574329043
"23",2010,92.3333333333333,46.8383333333333,2010,724.11275,2010,92.3333333333333,2.14944323513771,1117.59838935333,1.71581728277851
"24",2011,87.3333333333333,44.9663333333333,2011,754.90525,2011,87.3333333333333,2.12850403753,1141.59388589725,0.216810384685821
"25",2012,114.666666666667,52.9523333333333,2012,751.1175,2012,114.666666666667,1.87824641138698,1028.57226891406,0.46664486770127
"26",2013,36.3333333333333,60.6503333333333,2013,735.0215,2013,36.3333333333333,2.25225023873229,1093.8885402366,-0.532693064360526
"27",2014,108,58.7163333333333,2014,639.656,2014,96.6666666666667,2.44141169189751,1247.18289443271,0.716479350716719
"28",2015,99.6666666666667,65.7666666666667,2015,786.99575,2015,82.3333333333333,2.41368275977619,1182.90803486014,-0.407775822852802
"29",2016,81.3333333333333,63.358,2016,740.44225,2016,81.3333333333333,2.46884810771867,1250.48547397891,0.0502540626755215
"30",2017,115.666666666667,61.6083333333333,2017,759.72275,2017,115.666666666667,1.9469914205486,1083.95511475684,0.425005787198695
"31",2018,82.3333333333333,59.944,2018,759.8565,2018,84.6666666666667,1.9326628655779,1066.18874896233,-0.199580420339927
"32",2019,78.6666666666667,63.425,2019,807.344,2019,78.6666666666667,2.03447922925933,1073.32410469951,-0.199580420339927
"33",2020,36,57.247,2020,817.16975,2020,36,1.92076255517614,1125.02678109021,1.04959199473732
"34",2021,57,69.6913333333333,2021,1023.359,2021,79,2.44850466779997,1186.62369692538,-1.32383559390945
"35",2022,147.666666666667,42.875,2022,505.743,2022,138,1.83236866727944,1067.12848918091,2.04892992679911
"36",2023,78.6666666666667,NA,NA,NA,2023,78.6666666666667,2.20473731520756,1108.20636230925,0.0502540626755215
"37",2024,54.6666666666667,NA,NA,NA,2024,82.6666666666667,2.45356959995935,1202.41913699096,-0.990722949888849
