,31N,32N,33N,34N,35N,36N,37N,38N,39N,40N,41N,42N,43N,44N,45N,46N,47N
1988,115.327,84.759,104.415,151.429,224.344,211.248,184.466,160.139,346.504,307.39,169.098,211.093,190.876,57.736,90.01,41.704,29.676
1989,116.379,92.899,108.047,143.71,231.783,204.158,172.761,146.746,330.77,275.18,159.596,158.995,181.159,58.879,76.012,43.378,23.714
1990,88.659,98.966,135.874,162.75,242.967,194.491,175.719,185.761,383.646,330.112,198.728,234.28,178.661,52.916,84.548,49.696,29.382
1991,87.272,103.659,128.63,162.842,221.957,215.962,163.799,177.679,328.725,300.087,209.985,206.547,207.177,74.66,91.169,57.22,37.254
1992,80.786,81.081,127.363,128.912,164.536,144.4,132.134,124.09,220.978,226.097,153.439,153.521,152.121,61.654,87.306,56.111,42.429
1993,72.122,85.69,111.943,151.522,184.86,156.981,137.59,148.516,258.088,240.989,143.015,144.24,133.273,62.024,69.312,47.618,24.098
1994,58.138,83.775,124.858,149.084,236.801,193.73,177.24,156.399,277.042,290.776,170.689,198.325,158.306,59.421,82.634,41.774,26.35
1995,50.819,73.507,119.412,144.664,205.331,225.04,146.37,132.867,267.66,229.223,135.238,168.55,122.748,55.694,75.545,42.49,16.855
1996,87.107,103.386,118.094,153.312,215.376,212.648,186.14,150.027,319.516,278.665,158.941,180.594,163.108,57.228,80.359,53.214,33.876
1997,111.919,92.885,115.087,139.249,225.069,221.208,180.096,146.458,296.784,248.714,128.319,158.921,121.249,30.915,41.131,22.628,17.954
1998,125.16,138.419,129.876,165.757,264.659,244.079,180.168,148.19,311.355,293.154,173.18,178.506,159.544,62.243,81.563,53.091,38.505
1999,167.035,121.226,129.797,156.344,254.954,241.613,223.101,176.288,394.36,340.947,209.256,234.453,168.98,72.138,90.065,60.301,45.412
2000,134.814,109.517,131.305,161.455,222.609,242.024,201.114,186.901,337.72,297.096,196.761,208.639,173.029,62.325,83.143,54.085,30.947
2001,112.023,110.952,127.011,153.243,242.111,229.226,228.465,253.261,433.326,358.081,282.993,247.72,209.349,90.09,104.527,59.561,61.328
2002,144.113,135.453,174.521,193.505,241.744,238.458,233.087,200.823,424.3,426.621,337.503,328.853,248.44,92.596,114.135,67.698,64.556
2003,124.03,129.72,181.364,216.977,238.916,280.18,231.921,169.09,341.461,326.246,181.518,242.144,184.548,77.249,95.36,58.821,48.317
2004,147.379,163.311,178.81,216.403,236.919,242.61,237.459,204.098,366.344,332.899,269.064,273.139,214.907,102.395,96.794,68.104,52.753
2005,149.942,148.725,175.002,215.131,208.47,223.107,246.805,189.427,323.155,273.695,220.379,214.452,176.001,81.121,82.852,70.176,51.595
2006,125.317,100.925,154.917,182.279,210.788,217.927,219.021,193.101,366.974,329.433,254.539,284.235,249.389,99.267,128.871,90.333,84.952
2007,145.118,178.048,204.896,241.047,248.719,281.661,296.379,214.391,457.57,407.481,268.033,270.64,217.315,59.842,76.622,39.762,36.016
2008,152.394,140.427,164.407,201.594,259.265,291.493,260.974,199.073,373.007,390.11,231.864,268.494,198.692,68.323,91.019,60.817,50.476
2009,140.079,129.66,130.816,160.82,187.648,206.982,220.638,201.418,303.052,316.483,216.697,220.316,169.81,60.437,70.097,56.205,42.395
2010,157.611,124.779,161.516,168.578,201.264,215.542,216.188,194.322,318.607,313.098,185.201,210.648,148.267,53.863,56.766,45.773,37.976
2011,172.169,146.645,155.573,171.65,187.647,183.115,223.015,213.515,335.538,306.252,210.695,228.829,174.37,47.247,61.347,43.465,30.087
2012,202.472,143.98,160.184,182.943,212.434,212.428,221.733,188.373,294.333,222.704,174.081,185.644,139.339,64.022,73.833,49.878,35.146
2013,273.13,185.399,159.139,240.686,315.503,288.171,237.883,253.394,398.083,349.519,266.65,282.215,200.964,95.863,76.619,64.996,40.336
2014,212.972,159.475,122.847,173.441,224.776,196.641,138.947,139.437,207.144,203.713,199.158,186.994,150.031,91.637,75.392,55.611,45.146
2015,203.237,167.116,145.387,207.692,256.119,240.227,164.637,177.657,248.765,245.669,222.673,207.92,153.84,86.046,76.002,66.25,55.048
2016,228.88,172.494,141.936,210.742,251.389,247.078,175.156,172.309,247.918,234.522,195.295,185.901,134.19,87.771,73.682,63.158,53.234
2017,223.184,168.329,135.424,189.368,240.562,247.897,179.354,172.423,270.413,277.571,180.38,206.096,138.179,73.952,71.164,61.5,52.161
2018,214.272,165.302,146.865,233.811,282.561,282.69,219.029,225.95,367.193,343.493,246.433,247.229,159.096,78.477,70.251,57.621,51.96
2019,202.144,150.408,128.872,202.437,242.489,251.414,194.718,188.644,328.968,323.312,235.015,235.369,174.312,97.262,75.436,63.94,50.899
2020,198.977,145.994,114.77,207.783,267.599,283.325,225.541,186.89,356.627,352.867,256.558,268.214,178.41,71.395,63.824,58.238,49.679
2021,213.858,157.815,135.955,231.368,265.079,287.993,227.118,203.872,379.521,362.763,266.683,296.69,195.356,89.087,79.044,71.057,58.973
2022,202.499,150.034,128.905,233.359,285.779,284.742,245.095,196.659,317.726,268.969,181.029,204.307,123.527,52.626,41.745,55.347,31.533
