lon,lat,dist_shore_km,Water_land
-130,48,279.934,Fully in water
-130,47.9167,287.772,Fully in water
-130,47.8333,295.693,Fully in water
-130,47.75,303.69,Fully in water
-130,47.6667,311.757,Fully in water
-130,47.5833,319.889,Fully in water
-130,47.5,328.081,Fully in water
-130,47.4167,336.314,Fully in water
-130,47.3333,342.556,Fully in water
-130,47.25,348.933,Fully in water
-130,47.1667,355.437,Fully in water
-130,47.0833,362.06,Fully in water
-130,47,368.79,Fully in water
-130,46.9167,375.625,Fully in water
-130,46.8333,382.562,Fully in water
-130,46.75,389.595,Fully in water
-130,46.6667,396.72,Fully in water
-130,46.5833,403.932,Fully in water
-130,46.5,411.225,Fully in water
-130,46.4167,418.597,Fully in water
-130,46.3333,426.042,Fully in water
-130,46.25,433.556,Fully in water
-130,46.1667,441.138,Fully in water
-130,46.0833,448.782,Fully in water
-130,46,456.485,Fully in water
-130,45.9167,458.689,Fully in water
-130,45.8333,459.923,Fully in water
-130,45.75,461.34,Fully in water
-130,45.6667,462.937,Fully in water
-130,45.5833,464.714,Fully in water
-130,45.5,466.666,Fully in water
-130,45.4167,468.794,Fully in water
-130,45.3333,469.49,Fully in water
-130,45.25,469.534,Fully in water
-130,45.1667,469.036,Fully in water
-130,45.0833,468.709,Fully in water
-130,45,468.514,Fully in water
-130,44.9167,468.501,Fully in water
-130,44.8333,468.651,Fully in water
-130,44.75,468.955,Fully in water
-130,44.6667,469.225,Fully in water
-130,44.5833,469.612,Fully in water
-130,44.5,468.644,Fully in water
-130,44.4167,466.422,Fully in water
-130,44.3333,464.375,Fully in water
-130,44.25,462.504,Fully in water
-130,44.1667,460.81,Fully in water
-130,44.0833,459.297,Fully in water
-130,44,457.966,Fully in water
-130,43.9167,456.05,Fully in water
-130,43.8333,454.005,Fully in water
-130,43.75,452.14,Fully in water
-130,43.6667,450.458,Fully in water
-130,43.5833,448.96,Fully in water
-130,43.5,447.648,Fully in water
-130,43.4167,446.523,Fully in water
-130,43.3333,445.587,Fully in water
-130,43.25,444.841,Fully in water
-130,43.1667,444.286,Fully in water
-130,43.0833,443.924,Fully in water
-130,43,443.754,Fully in water
-130,42.9167,443.777,Fully in water
-130,42.8333,443.992,Fully in water
-130,42.75,444.4,Fully in water
-130,42.6667,445,Fully in water
-130,42.5833,445.791,Fully in water
-130,42.5,446.773,Fully in water
-130,42.4167,447.943,Fully in water
-130,42.3333,449.3,Fully in water
-130,42.25,450.843,Fully in water
-130,42.1667,452.57,Fully in water
-130,42.0833,454.479,Fully in water
-130,42,456.567,Fully in water
-130,41.9167,458.832,Fully in water
-130,41.8333,461.271,Fully in water
-130,41.75,463.882,Fully in water
-130,41.6667,466.661,Fully in water
-130,41.5833,468.648,Fully in water
-130,41.5,470.651,Fully in water
-130,41.4167,472.827,Fully in water
-130,41.3333,475.173,Fully in water
-130,41.25,477.655,Fully in water
-130,41.1667,478.153,Fully in water
-130,41.0833,476.983,Fully in water
-130,41,475.99,Fully in water
-130,40.9167,475.174,Fully in water
-130,40.8333,474.537,Fully in water
-130,40.75,474.08,Fully in water
-130,40.6667,473.803,Fully in water
-130,40.5833,473.706,Fully in water
-130,40.5,473.789,Fully in water
-130,40.4167,474.053,Fully in water
-130,40.3333,474.497,Fully in water
-130,40.25,475.12,Fully in water
-130,40.1667,475.915,Fully in water
-130,40.0833,476.888,Fully in water
-130,40,478.038,Fully in water
-130,39.9167,479.363,Fully in water
-130,39.8333,480.862,Fully in water
-130,39.75,482.534,Fully in water
-130,39.6667,484.377,Fully in water
-130,39.5833,486.388,Fully in water
-130,39.5,488.565,Fully in water
-130,39.4167,490.908,Fully in water
-130,39.3333,493.383,Fully in water
-130,39.25,495.678,Fully in water
-130,39.1667,498.132,Fully in water
-130,39.0833,500.745,Fully in water
-130,39,503.514,Fully in water
-130,38.9167,506.436,Fully in water
-130,38.8333,509.51,Fully in water
-130,38.75,512.731,Fully in water
-130,38.6667,516.098,Fully in water
-130,38.5833,519.608,Fully in water
-130,38.5,523.257,Fully in water
-130,38.4167,527.043,Fully in water
-130,38.3333,530.962,Fully in water
-130,38.25,535.013,Fully in water
-130,38.1667,539.191,Fully in water
-130,38.0833,543.495,Fully in water
-130,38,547.92,Fully in water
-130,37.9167,552.465,Fully in water
-130,37.8333,557.126,Fully in water
-130,37.75,561.899,Fully in water
-130,37.6667,565.376,Fully in water
-130,37.5833,568.085,Fully in water
-130,37.5,570.929,Fully in water
-130,37.4167,573.909,Fully in water
-130,37.3333,577.021,Fully in water
-130,37.25,580.226,Fully in water
-130,37.1667,583.538,Fully in water
-130,37.0833,586.977,Fully in water
-130,37,590.54,Fully in water
-130,36.9167,594.226,Fully in water
-130,36.8333,598.031,Fully in water
-130,36.75,601.954,Fully in water
-130,36.6667,605.992,Fully in water
-130,36.5833,610.143,Fully in water
-130,36.5,614.406,Fully in water
-130,36.4167,618.776,Fully in water
-130,36.3333,623.253,Fully in water
-130,36.25,627.833,Fully in water
-130,36.1667,632.516,Fully in water
-130,36.0833,637.297,Fully in water
-130,36,642.176,Fully in water
-130,35.9167,647.15,Fully in water
-130,35.8333,652.216,Fully in water
-130,35.75,657.373,Fully in water
