year,DDpre,DDegg,DDlarv,DDpjuv,DDben,Tcop,Tpart,MLDpart,MLDlarv,MLDpjuv,CSTlarv,CSTpjuv,LSTlarv,LSTpjuv
1993,30563.244344756,,29306.6523604759,46516.1005924673,35567.7860598181,10.712745093639,10.0712903499759,14.9112366775,12.170470335,11.197682304,0.0105719195,0.0096252214,0.0076183625,-0.0909590988
1994,32852.7768909853,30939.8485535248,28754.1229776144,41813.0780317008,37359.171547449,11.4587982102988,10.0237094053875,13.923875385,12.032958115,10.845332224,0.0143881755,0.010791482,-0.0222279915,-0.1204765054
1995,34521.6997183677,30534.4716528118,32563.9231192102,41866.2812579962,38979.6630940637,11.0253207611415,10.5664106153729,15.0585970425,11.84879909,10.914638074,0.013977656,0.014952145,-0.008593849,-0.1220054
1996,35897.5611486247,35309.5542559662,31643.4695125986,41029.7258051476,35151.635066628,10.5289895637429,10.8106661455571,15.12993445,11.895701495,11.20138152,0.0209733525,0.0130108348,-0.043861582,-0.1211436718
1997,31841.6333883264,30660.958430925,27106.3865514802,44850.3530826236,47657.2154835112,12.6879655126706,9.71290475355911,13.42029653,10.98845313,10.725216586,0.0210490135,0.0088120686,-0.074879495,-0.0918396176
1998,43451.9205183725,44863.6991919773,38130.194123563,46251.6601256487,38747.5802940615,11.2115846390095,11.7603878353247,22.6392608375,16.41481818,11.016094444,0.0097110405,0.00608528103257613,0.017776259,-0.096520525
1999,34024.8037488553,35994.3879989939,24875.5867937746,37003.4123000288,36317.4107685062,10.5503255497901,9.2337244778179,16.80005762,14.766077355,11.232716032,0.019676505,0.0123038256,0.010755834,-0.134425438
2000,32816.4800549364,34215.4496985704,28768.5334515534,39821.4021568816,34925.6878798696,10.5699902587103,9.88892504767876,13.4319322975,11.78732755,10.7289702,0.014609526,0.013876684,-0.0245162955,-0.1221953072
2001,31585.9804111943,30290.3823208592,26365.7967131783,37581.2560339509,35688.0459753449,10.4777511726408,9.58674848863874,14.027074495,11.33657886,11.036276918,0.0106417075,0.0087637872,-0.0481889875,-0.1176855708
2002,31191.5189881829,32605.3408490518,23877.8656687053,35593.5186601426,35875.9030544885,9.6366325503777,9.22741096582302,13.7120887875,10.975673185,11.014625638,0.014069287,0.0096917282,-0.056580856,-0.1347609948
2003,33119.1521057869,36032.292636121,31781.3708311284,40685.8800496051,36961.932756492,10.7278696616161,10.7427498290358,14.49500417,11.95909003,10.89086519,0.017686345,0.005641232,-0.0502389755,-0.1094161694
2004,33193.7002019063,33469.3400797811,28256.6077462897,41533.0008189358,37092.5075579876,11.2024984649623,10.0024552011161,14.9179135775,11.55575493,10.666246772,0.0203161365,0.009037274,-0.0602976165,-0.1137804956
2005,34373.124289114,31274.6389635969,31932.6214577808,45000.065750119,36357.1211388088,10.5160231692685,10.5094440556219,13.7009215775,11.10947922,11.41125748,0.008881793,0.00842437,-0.016785936,-0.1020399984
2006,33800.0589103126,34084.8467640122,27933.5669021692,40194.3019882037,35594.2964403392,10.27511161393,10.2474189319867,16.17918397,12.69329792,11.112926794,0.0140476155,0.0039961686,-0.024230103,-0.0969975338
2007,31426.7859681171,32604.4236487707,26075.9404390755,39124.4780809998,33519.4237820031,10.4418494993121,9.44239173553365,13.97787628,11.57351906,10.847399432,0.0192589445,0.011330441,-0.0357706055,-0.1242994586
