date,lst_90_180,lst_0_180,lst_0_90,lst_30_130,lst_180_549
1/1/93,0.070515535,0.051755831,0.033060001,0.048179173,0.069293783
2/1/93,0.026526848,0.02591988,0.02536354,0.027997266,0.019654002
3/1/93,-0.021543973,-0.015824785,-0.010126815,-0.014904918,-0.012255958
4/1/93,-0.084154945,-0.060593577,-0.037006251,-0.057818357,-0.088746264
5/1/93,-0.05483044,-0.041826355,-0.028716798,-0.04273097,-0.041348122
6/1/93,-0.120565063,-0.128531054,-0.135986989,-0.135730323,-0.046706365
7/1/93,-0.110217573,-0.11912764,-0.127361921,-0.126570964,-0.005729702
8/1/93,-0.06513073,-0.08583865,-0.106089634,-0.09194488,-0.008310763
9/1/93,-0.035043435,-0.05197521,-0.068622617,-0.054423914,0.032200692
10/1/93,0.045352338,0.034690331,0.023863785,0.040719293,0.050735099
11/1/93,0.013926404,-0.008518251,-0.030789968,-0.01236894,0.038056588
12/1/93,0.086703092,0.072487306,0.05838219,0.074217285,0.063278703
1/1/94,0.044918919,0.03128954,0.017802739,0.031342232,0.032342859
2/1/94,-0.014528023,-0.009292174,-0.00395937,-0.008736243,-0.017700917
3/1/94,-0.041243261,-0.040956415,-0.040496613,-0.041749625,-0.023104719
4/1/94,-0.136710175,-0.129169113,-0.121204367,-0.133309449,-0.09524543
5/1/94,-0.128811125,-0.129332735,-0.129295309,-0.13639066,-0.066871406
6/1/94,-0.098741538,-0.112093764,-0.124714991,-0.120667946,-0.034378349
7/1/94,-0.102400659,-0.111714999,-0.120289773,-0.11620212,-0.009920297
8/1/94,-0.080319563,-0.089551084,-0.098156058,-0.095812352,-0.006037996
9/1/94,-0.045706446,-0.055765512,-0.065235014,-0.060002717,0.000991222
10/1/94,-0.059949681,-0.064983951,-0.069372288,-0.071830012,-0.006665019
11/1/94,-0.003109732,-0.008964035,-0.01465383,-0.009719544,0.008694383
12/1/94,0.068425957,0.062278044,0.056509866,0.062093178,0.059059158
1/1/95,0.118749801,0.128329652,0.138027669,0.130136296,0.051028463
2/1/95,-0.024611672,-0.025262052,-0.025685004,-0.028915703,-0.029010213
3/1/95,-0.003096847,0.002652526,0.008497306,0.00488046,-0.017355233
4/1/95,-0.113346254,-0.111457529,-0.109196298,-0.11433121,-0.096180701
5/1/95,-0.138367091,-0.143382993,-0.147886254,-0.154297191,-0.075246424
6/1/95,-0.140535428,-0.137080886,-0.133233866,-0.146662779,-0.063740463
7/1/95,-0.065317121,-0.07998243,-0.094174021,-0.084784965,0.001526583
8/1/95,-0.101610926,-0.105472506,-0.108877444,-0.109950855,-0.027524515
9/1/95,-0.037038818,-0.046942024,-0.056689351,-0.046181796,-0.014747308
10/1/95,-0.061974004,-0.074737613,-0.087015737,-0.081073538,-0.018360385
11/1/95,0.000828665,0.006693615,0.01275932,0.008702261,-0.000585277
12/1/95,0.059866924,0.057528225,0.055109229,0.061844811,0.030609627
1/1/96,-0.047908134,-0.05431079,-0.060568766,-0.062169569,-0.035374653
2/1/96,0.016611399,0.01520274,0.013778939,0.01116375,0.005086479
3/1/96,-0.098840419,-0.100315751,-0.101502103,-0.10867172,-0.063405079
4/1/96,-0.05449914,-0.043280319,-0.031924504,-0.049163291,-0.057284452
5/1/96,-0.133612984,-0.142599909,-0.151030835,-0.156895151,-0.044980076
6/1/96,-0.174661447,-0.168341531,-0.161351971,-0.176706084,-0.068960215
7/1/96,-0.104194353,-0.116415293,-0.127889658,-0.121825834,-0.008071534
8/1/96,-0.080349812,-0.097190234,-0.113565672,-0.101127999,-0.013663562
9/1/96,-0.05114486,-0.058774623,-0.066067112,-0.056177546,-0.006437679
10/1/96,-0.049619003,-0.053523607,-0.057057111,-0.054747803,-0.007016603
11/1/96,-0.013886232,-0.016455646,-0.018687178,-0.015011921,-0.01175295
12/1/96,0.053613765,0.051356127,0.04913796,0.053254011,0.028159434
1/1/97,0.046861381,0.040124255,0.033394654,0.041432424,0.011819473
2/1/97,-0.107703534,-0.106681916,-0.105305343,-0.108753875,-0.064668656
3/1/97,-0.068140824,-0.056456573,-0.044453647,-0.058424052,-0.031882869
4/1/97,-0.146433583,-0.134908653,-0.122793761,-0.141763288,-0.094010985
5/1/97,-0.038689532,-0.05101466,-0.062620437,-0.055985888,-0.007890161
6/1/97,-0.118914211,-0.127827077,-0.136160978,-0.139914072,-0.041401168
7/1/97,-0.08240094,-0.1009618,-0.119104408,-0.110858744,0.013812263
8/1/97,0.005419671,-0.008736494,-0.022560686,-0.010676096,0.05085181
9/1/97,0.016045335,0.004088788,-0.007746742,0.005292213,0.026040177
10/1/97,0.024966401,0.005589659,-0.013636203,-0.000155012,0.069885186
11/1/97,0.145823833,0.131090076,0.116364061,0.138105362,0.101970256
12/1/97,0.110603309,0.081685013,0.052971903,0.077538436,0.092002495
1/1/98,0.087005039,0.095765061,0.104534103,0.100194229,0.046973638
2/1/98,0.059462032,0.072995735,0.086491365,0.079893739,0.00056463
3/1/98,-0.072771934,-0.061943258,-0.050938847,-0.061729163,-0.075669931
4/1/98,-0.101108187,-0.102533169,-0.103453145,-0.10712323,-0.078956019
5/1/98,-0.060874676,-0.068293478,-0.075478051,-0.073570813,-0.023140885
