Driver,Linear.AIC,Polynomial.AIC,GAM.AIC,Best,Linear.vs.Poly,LvPaic
DDpre,30.11251881965,32.0790592649577,30.1125188197306,Linear,Linear,-1.967
DDegg,31.0945535842627,32.252515588916,31.0945535843985,Linear,Linear,-1.158
DDlarv,31.2041612438205,32.958344768679,31.205858569268,Linear,Linear,-1.754
DDpjuv,32.3666302595729,34.332726020083,32.3666302594319,GAM,Linear,-1.966
DDben,32.0867314481932,32.8954490618191,32.0867314482714,Linear,Linear,-0.809
Tcop,31.5288534927003,32.9108916642601,31.5288534928502,Linear,Linear,-1.382
Tpart,31.5033749158951,33.2931147483541,31.5045848301058,Linear,Linear,-1.79
MLDpart,28.7173622556171,30.5957440372262,28.7173622559818,Linear,Linear,-1.878
MLDlarv,27.3839545611299,28.7582625854111,27.3839545613758,Linear,Linear,-1.374
MLDpjuv,32.3566022902123,33.9808436414182,32.3566022896764,GAM,Linear,-1.624
CSTlarv,32.424837231907,34.3995305736233,31.4299169448883,GAM,Linear,-1.975
CSTpjuv,32.3809414935505,32.7070221614259,30.6931306187478,GAM,Linear,-0.326
LSTlarv,31.7020035892934,28.821688584444,29.2138132315131,Poly,Poly,2.88
LSTpjuv,32.4102803355276,34.2518953973197,32.41028033575,Linear,Linear,-1.842
hci1_larv,31.6511718641359,33.5827337553403,31.6511718644841,Linear,Linear,-1.932
hci1_pjuv,32.4250780543948,32.3366283000214,31.557044416091,GAM,Poly,0.088
hci2_larv,31.6511718641359,33.5827337553403,31.6511718644841,Linear,Linear,-1.932
hci2_pjuv,32.4250780543948,32.3366283000214,31.557044416091,GAM,Poly,0.088
oni_pre,32.4209836221759,30.2303139786515,30.6011502780172,Poly,Poly,2.191
oni_larv,32.4251253347188,27.4096885590139,28.1230756313567,Poly,Poly,5.015
oni_pjuv,30.7099905913596,31.5300817556758,30.70999059139,Linear,Linear,-0.82
pdo_larv,31.460023604973,33.2952319554231,31.4600236049705,GAM,Linear,-1.835
pdo_pjuv,32.0150063850914,33.7913899352369,32.015006385178,Linear,Linear,-1.776
lusi_annual,32.2220567252641,33.8926196711952,31.6384157707085,GAM,Linear,-1.671
