"","cov","total_rmse","total_aic","cv","model"
"1","CutiSTIpjuv",0.930647798267434,4.85137036114124,"LOO","GAM"
"2","LSTlarv",0.941071370075283,2.15892228682474,"LOO","GAM"
"3","MLDlarv",0.950836784898444,2.25504456618927,"LOO","GAM"
"4","Tcop",0.988778507438597,-0.52749561766759,"LOO","GAM"
"5","ONIpjuv",1.02035141320508,-0.0138866097200866,"LOO","GAM"
"6","DDlarv",1.02750491779442,-0.946942069427939,"LOO","GAM"
"7","DDpre",1.02814800415051,-0.128883913937356,"LOO","GAM"
"8","MLDpart",1.03058583264365,0.971741065769818,"LOO","GAM"
"9","PDOpjuv",1.03462257883663,-0.895271433305403,"LOO","GAM"
"10","X",1.03510243900479,-0.0079871383077558,"LOO","GAM"
"11","DDegg",1.04264585499606,-1.21547821787906,"LOO","GAM"
"12","HCIlarv",1.04587719883677,-0.947104345863606,"LOO","GAM"
"13","PDOlarv",1.04955835499886,-0.866597837695538,"LOO","GAM"
"14","CutiTUMIpjuv",1.05100625320301,-2.01041702605623,"LOO","GAM"
"15","Tpart",1.05266843437589,-1.17898181859985,"LOO","GAM"
"16","LSTpjuv",1.05338003079653,-1.97104564669891,"LOO","GAM"
"17","DDben",1.06142567097136,-1.52977459244209,"LOO","GAM"
"18","dfa",1.07028593933605,-1.67755369955266,"LOO","GAM"
"19","ONIpre",1.07041739900762,0.0272093790638779,"LOO","GAM"
"20","BeutiTUMIpjuv",1.07754482318264,-1.67902988172709,"LOO","GAM"
"21","BeutiSTIpjuv",1.07774794152686,-1.14435829781384,"LOO","GAM"
"22","HCIpjuv",1.08808154637483,-1.43996547651156,"LOO","GAM"
"23","DDpjuv",1.1107159951992,-1.6774872108362,"LOO","GAM"
"24","MLDpjuv",1.13294995736721,-1.76943102235822,"LOO","GAM"
"25","CSTlarv",1.13528152018126,-1.97913084437573,"LOO","GAM"
"26","CSTpjuv",1.16222650436577,-1.64197359398382,"LOO","GAM"
"27","LSTlarv",0.768591919498633,2.31228326500986,"LFO_5","GAM"
"28","PDOlarv",0.8427711906392,0.764650699718063,"LFO_5","GAM"
"29","DDlarv",0.858676938907099,0.824010457313122,"LFO_5","GAM"
"30","DDpre",0.879333916588965,1.64751290220898,"LFO_5","GAM"
"31","Tpart",0.886148191177689,0.879551139117974,"LFO_5","GAM"
"32","HCIlarv",0.88943824001171,1.27289069396274,"LFO_5","GAM"
"33","dfa",0.910536021983297,0.576317089059957,"LFO_5","GAM"
"34","DDben",0.911252705836428,0.615731372358147,"LFO_5","GAM"
"35","Tcop",0.913180217810737,1.46396933710033,"LFO_5","GAM"
"36","LSTpjuv",0.920241794025128,0.219295471492897,"LFO_5","GAM"
"37","CSTlarv",0.921107575043217,0.311599088097676,"LFO_5","GAM"
"38","ONIpjuv",0.922850062793069,1.92068547812404,"LFO_5","GAM"
"39","DDpjuv",0.928287855625119,0.538569341471043,"LFO_5","GAM"
"40","BeutiTUMIpjuv",0.931281265994481,0.765548444574134,"LFO_5","GAM"
"41","MLDpart",0.942643816039752,2.83657955353437,"LFO_5","GAM"
"42","CutiTUMIpjuv",0.951126199112682,0.348874982294836,"LFO_5","GAM"
"43","HCIpjuv",0.957073732798034,0.730952366374267,"LFO_5","GAM"
"44","DDegg",0.967457121620252,1.10660399115434,"LFO_5","GAM"
"45","MLDlarv",0.985298186049967,4.18401084462715,"LFO_5","GAM"
"46","BeutiSTIpjuv",1.00316530970268,1.8021580475631,"LFO_5","GAM"
"47","CutiSTIpjuv",1.07201056103834,7.90074752380424,"LFO_5","GAM"
"48","PDOpjuv",1.1270886212783,2.56390503495768,"LFO_5","GAM"
"49","MLDpjuv",1.23148586131181,1.66502897659422,"LFO_5","GAM"
"50","X",1.43538184911908,4.5945369780686,"LFO_5","GAM"
"51","ONIpre",1.45600738763299,6.51508925557265,"LFO_5","GAM"
"52","CSTpjuv",1.53227556153273,3.73091761953657,"LFO_5","GAM"
"53","CutiSTIpjuv",0.899649633627463,9.42157711045014,"LFO_10","GAM"
"54","MLDpart",0.909573255797292,6.55936522475585,"LFO_10","GAM"
"55","MLDlarv",0.913435155061664,8.67000792109546,"LFO_10","GAM"
"56","DDegg",0.96472771707569,6.12508102039337,"LFO_10","GAM"
"57","ONIpjuv",0.96571640221371,7.92349185322463,"LFO_10","GAM"
"58","ONIpre",0.968613028391596,9.08018226978274,"LFO_10","GAM"
"59","Tcop",0.971530715601225,7.40725353830784,"LFO_10","GAM"
"60","PDOpjuv",0.97292364674424,7.1508584655059,"LFO_10","GAM"
"61","DDpre",0.98095109764075,6.23990271952188,"LFO_10","GAM"
"62","DDben",0.983587552586669,5.39456838725587,"LFO_10","GAM"
"63","PDOlarv",0.98680118356752,5.88106657508408,"LFO_10","GAM"
"64","DDlarv",0.993048579470978,6.0652620043762,"LFO_10","GAM"
"65","HCIlarv",0.995931244459423,7.64563689842289,"LFO_10","GAM"
"66","LSTpjuv",1.00312648358078,5.32445239865785,"LFO_10","GAM"
"67","dfa",1.0062130741914,6.14848441766623,"LFO_10","GAM"
"68","HCIpjuv",1.00669826664978,5.5456757108679,"LFO_10","GAM"
"69","Tpart",1.00996230000107,6.3849281783372,"LFO_10","GAM"
"70","LSTlarv",1.03667655181389,13.6650375712974,"LFO_10","GAM"
"71","BeutiSTIpjuv",1.04515987314135,7.63914958787683,"LFO_10","GAM"
"72","DDpjuv",1.04588066141253,6.32492771625106,"LFO_10","GAM"
"73","MLDpjuv",1.06098222364744,6.45748416892009,"LFO_10","GAM"
"74","BeutiTUMIpjuv",1.06560354651039,8.42318574336687,"LFO_10","GAM"
"75","CSTpjuv",1.09621072105075,6.54360842043877,"LFO_10","GAM"
"76","X",1.10463441060725,7.12131996396264,"LFO_10","GAM"
"77","CSTlarv",1.1148658741469,6.54391036171255,"LFO_10","GAM"
"78","CutiTUMIpjuv",1.26628927906987,12.136090554694,"LFO_10","GAM"
