"","cov","total_rmse","total_aic","cv","model"
"1","CutiSTIpjuv +I(CutiSTIpjuv^2)",0.824588097323515,6.26945540215463,"LOO","LM"
"2","MLDlarv",0.875409280307587,3.06253865681489,"LOO","LM"
"3","MLDpart",0.914027927396586,1.86128034157503,"LOO","LM"
"4","Tcop",0.914200653630668,0.521437023026109,"LOO","LM"
"5","DDpre",0.915997044466216,0.813023852726047,"LOO","LM"
"6","X",0.932849308906955,0.423815590540642,"LOO","LM"
"7","ONIpjuv",0.934812017195453,0.71897786254466,"LOO","LM"
"8","DDegg",0.946250845277893,-0.331099174224352,"LOO","LM"
"9","PDOpjuv",0.947688808036557,-0.155273009877527,"LOO","LM"
"10","DDben",0.948065068228792,-0.630813915849076,"LOO","LM"
"11","DDlarv",0.950447955934048,-0.0568957786933374,"LOO","LM"
"12","LSTlarv",0.956315422001918,-0.522342662250369,"LOO","LM"
"13","PDOlarv",0.956807798873324,-0.240309804097258,"LOO","LM"
"14","Tpart",0.961055408126287,-0.332792101903508,"LOO","LM"
"15","CSTpjuv",0.965711244811695,-1.12708897210764,"LOO","LM"
"16","HCIlarv",0.965840662804388,-0.4107267577542,"LOO","LM"
"17","CutiSTIpjuv",0.967317025616414,0.205786792274575,"LOO","LM"
"18","HCIpjuv",0.969721689428357,-0.96236545921094,"LOO","LM"
"19","dfa",0.970310179526646,-0.565461341992139,"LOO","LM"
"20","CutiTUMIpjuv",0.971088745390689,-1.15778015296559,"LOO","LM"
"21","LSTpjuv",0.972678225965067,-1.09698122011479,"LOO","LM"
"22","BeutiSTIpjuv",0.982378823733736,-0.712489095268727,"LOO","LM"
"23","BeutiTUMIpjuv",0.982703842823311,-0.849062201295999,"LOO","LM"
"24","CSTlarv",0.990582528000478,-1.07545567636446,"LOO","LM"
"25","ONIpre",0.993627063455342,-0.762661151701941,"LOO","LM"
"26","DDpjuv",0.99431215263852,-0.856558639541006,"LOO","LM"
"27","MLDpjuv",1.02837521021942,-0.925191735283667,"LOO","LM"
"28","PDOlarv",0.796668917289143,0.550132740589281,"LFO_5","LM"
"29","DDlarv",0.799824301799141,0.720274220911301,"LFO_5","LM"
"30","HCIlarv",0.809715451677841,0.459687484459608,"LFO_5","LM"
"31","Tpart",0.822820885750855,0.643528064998221,"LFO_5","LM"
"32","dfa",0.842873261872242,0.579408568146602,"LFO_5","LM"
"33","ONIpjuv",0.844538594952076,1.71874382076295,"LFO_5","LM"
"34","DDben",0.845216671290938,0.53948838980759,"LFO_5","LM"
"35","DDpjuv",0.850055571776754,0.365722607528941,"LFO_5","LM"
"36","BeutiSTIpjuv",0.856058650786705,0.526770040669482,"LFO_5","LM"
"37","BeutiTUMIpjuv",0.858389153929787,0.461781043762552,"LFO_5","LM"
"38","Tcop",0.859194383676509,1.62835683727552,"LFO_5","LM"
"39","DDpre",0.859400811871861,1.84031138114023,"LFO_5","LM"
"40","CSTlarv",0.86049309067215,0.247568966328721,"LFO_5","LM"
"41","LSTpjuv",0.866479188771003,0.178878897458054,"LFO_5","LM"
"42","CutiSTIpjuv",0.869835620126422,1.41671998540634,"LFO_5","LM"
"43","CutiTUMIpjuv",0.87541664805411,0.175674903143561,"LFO_5","LM"
"44","MLDlarv",0.877313485767012,3.96567203099202,"LFO_5","LM"
"45","CSTpjuv",0.886224633590458,0.21549785307368,"LFO_5","LM"
"46","HCIpjuv",0.890664882105281,0.334639522988606,"LFO_5","LM"
"47","LSTlarv",0.89891946187396,0.836804659796511,"LFO_5","LM"
"48","MLDpart",0.907081196873959,3.01155008037557,"LFO_5","LM"
"49","DDegg",0.931822581652127,1.18388004343186,"LFO_5","LM"
"50","PDOpjuv",0.997522725158289,1.76533845977132,"LFO_5","LM"
"51","CutiSTIpjuv +I(CutiSTIpjuv^2)",1.0209369892108,8.0117839864245,"LFO_5","LM"
"52","ONIpre",1.11957917559119,1.95148611227416,"LFO_5","LM"
"53","MLDpjuv",1.15609049732591,1.4376526353448,"LFO_5","LM"
"54","X",1.3911948453774,4.64285196870984,"LFO_5","LM"
"55","CutiSTIpjuv +I(CutiSTIpjuv^2)",0.905079194621867,8.1197910010751,"LFO_10","LM"
"56","MLDlarv",0.967879237868025,8.19051487537812,"LFO_10","LM"
"57","MLDpart",0.974840616860684,6.16048864780687,"LFO_10","LM"
"58","DDpre",1.0116921890628,6.21233294561342,"LFO_10","LM"
"59","Tcop",1.03470937697955,7.36391285480729,"LFO_10","LM"
"60","DDegg",1.03547028607246,5.44238149584297,"LFO_10","LM"
"61","ONIpjuv",1.03550413891541,7.69548252450661,"LFO_10","LM"
"62","DDben",1.03905330595459,5.04256764968415,"LFO_10","LM"
"63","HCIlarv",1.04531907001613,5.0685320711774,"LFO_10","LM"
"64","ONIpre",1.04621801083322,5.19305612997972,"LFO_10","LM"
"65","DDlarv",1.04960142409214,6.35846505258297,"LFO_10","LM"
"66","Tpart",1.05001877753655,5.65983830019591,"LFO_10","LM"
"67","PDOpjuv",1.05178201433013,7.00638105304696,"LFO_10","LM"
"68","dfa",1.05321085231564,5.39829366064191,"LFO_10","LM"
"69","PDOlarv",1.06117459947783,5.64825307523857,"LFO_10","LM"
"70","HCIpjuv",1.06576373090577,5.27422101888092,"LFO_10","LM"
"71","LSTpjuv",1.0718979113848,5.04279981478498,"LFO_10","LM"
"72","CutiSTIpjuv",1.07285424749467,5.29818803526839,"LFO_10","LM"
