"","ModelID","AIC_LFO5","RMSE_LFO5","rsq_LFO5","dev.ex_LFO5","var","model","null","RMSE_LFO5_rel","AIC_LOO","RMSE_LOO","rsq_LOO","dev.ex_LOO","RMSE_LOO_rel","AIC_LFO10","RMSE_LFO10","rsq_LFO10","dev.ex_LFO10","RMSE_LFO10_rel"
"1",21,20.6944241890059,0.381,0.37,0.4479,"CutiSTIpjuv","GAM",0.502,0.31758530183727,24.9423135204264,0.432,0.28,0.3494,0.115740740740741,11.038151508996,0.504,0.25,0.3833,0.281746031746032
"2",13,25.8720641389925,0.253,0.12,0.2155,"LSTlarv","GAM",0.502,0.984189723320158,27.6211807327824,0.433,0.18,0.2562,0.113163972286374,6.38459263163706,0.592,0.48,0.5325,0.0912162162162163
"3",9,24.2223026905692,0.337,0.18,0.2382,"MLDlarv","GAM",0.502,0.489614243323442,27.3756881149943,0.436,0.16,0.2052,0.105504587155963,11.1411848397849,0.516,0.2,0.2795,0.251937984496124
"4",1,26.782317305333,0.297,0.03,0.0964,"DDpre","GAM",0.502,0.69023569023569,29.9514048671177,0.46,0.05,0.1015,0.0478260869565217,13.114408271366,0.542,0.04,0.138,0.191881918819188
"5",6,26.6672117402756,0.321,0.04,0.1029,"Tcop","GAM",0.502,0.56386292834891,30.1850319068618,0.462,0.04,0.0915,0.0432900432900432,11.5183214277825,0.558,0.17,0.2544,0.157706093189964
"6",8,25.3899482849898,0.319,0.11,0.1717,"MLDpart","GAM",0.502,0.573667711598746,28.6462918220924,0.473,0.11,0.1556,0.0190274841437632,13.2266008495206,0.513,0.03,0.1291,0.259259259259259
"7",2,27.1895449127791,0.341,0.01,0.0732,"DDegg","GAM",0.502,0.472140762463343,31.0945535843693,0.479,0,0.0512,0.00626304801670147,14.0528782232649,0.55,-0.04,0.0612,0.174545454545454
"8",25,24.2620126768448,0.502,0.17,0.2281,"X","GAM",0.502,0,30.1952661764995,0.482,0.06,0.1178,0,12.8611148655344,0.646,0.06,0.1576,0
"9",18,26.9695527700572,0.324,0.02,0.0858,"ONIpjuv","GAM",0.502,0.549382716049383,30.4860302373205,0.483,0.03,0.0783,-0.0020703933747412,12.1841794145036,0.56,0.12,0.2079,0.153571428571428
"10",3,27.9692246270957,0.279,-0.04,0.0269,"DDlarv","GAM",0.502,0.799283154121864,31.011174639421,0.484,0.01,0.055,-0.00413223140495868,13.7629806217274,0.562,-0.02,0.0856,0.149466192170818
"11",20,27.4302825675242,0.376,-0.01,0.0591,"PDOpjuv","GAM",0.502,0.335106382978723,31.75613361061,0.486,-0.03,0.0209,-0.00823045267489713,13.8137310574122,0.567,-0.02,0.0814,0.139329805996473
"12",7,28.0417601992081,0.291,-0.05,0.0224,"Tpart","GAM",0.502,0.725085910652921,31.3042952415975,0.491,-0.01,0.0417,-0.0183299389002037,14.4663767502372,0.563,-0.08,0.0252,0.147424511545293
"13",15,28.2417520783524,0.288,-0.06,0.0101,"HCIlarv","GAM",0.502,0.743055555555556,31.4580447889243,0.493,-0.02,0.0347,-0.0223123732251522,14.7307500232619,0.564,-0.11,0.0015,0.145390070921986
"14",22,28.3914399323547,0.328,-0.07,8e-04,"CutiTUMIpjuv","GAM",0.502,0.530487804878049,32.1867183073171,0.493,-0.05,6e-04,-0.0223123732251522,10.0111421330529,0.67,0.31,0.4359,-0.0358208955223881
"15",5,28.1587447071639,0.32,-0.06,0.0153,"DDben","GAM",0.502,0.56875,31.8778722754386,0.498,-0.04,0.0152,-0.0321285140562249,14.7474074913454,0.563,-0.11,0,0.147424511545293
"16",17,22.6826367429859,0.505,0.28,0.3719,"ONIpre","GAM",0.502,-0.00594059405940595,29.8605520827081,0.499,0.09,0.1665,-0.0340681362725451,11.5327587120781,0.554,0.21,0.3529,0.166064981949458
"17",26,28.2680007020626,0.302,-0.06,0.0085,"dfa","GAM",0.502,0.662251655629139,31.7362172820819,0.5,-0.03,0.0218,-0.036,14.333448329733,0.578,-0.07,0.0369,0.11764705882353
"18",14,28.3909693594523,0.327,-0.07,9e-04,"LSTpjuv","GAM",0.502,0.535168195718654,32.1861314215772,0.501,-0.05,6e-04,-0.0379241516966068,14.6890706554238,0.572,-0.11,0.0053,0.129370629370629
"19",23,28.265155171401,0.317,-0.06,0.0087,"BeutiTUMIpjuv","GAM",0.502,0.583596214511041,31.9842587366284,0.502,-0.04,0.0102,-0.0398406374501992,12.446290238602,0.596,0.13,0.2675,0.0838926174496645
"20",19,28.1064252669278,0.284,-0.05,0.0185,"PDOlarv","GAM",0.502,0.767605633802817,31.2560891525612,0.504,-0.01,0.0439,-0.0436507936507937,14.6833550748772,0.564,-0.1,0.0058,0.145390070921986
"21",24,27.0591363752404,0.339,0.05,0.1486,"BeutiSTIpjuv","GAM",0.502,0.480825958702065,31.2004506828873,0.506,0.02,0.0943,-0.0474308300395257,13.3694449620931,0.603,0.06,0.2029,0.0713101160862356
"22",4,28.3639570367323,0.321,-0.07,0.0026,"DDpjuv","GAM",0.502,0.56386292834891,32.1104420337745,0.516,-0.05,0.0042,-0.0658914728682171,13.6248326096898,0.597,0,0.097,0.0820770519262982
"23",16,28.3864599718207,0.336,-0.07,0.0012,"HCIpjuv","GAM",0.502,0.494047619047619,31.8601375991355,0.516,-0.02,0.0513,-0.0658914728682171,14.5477176661959,0.576,-0.09,0.018,0.121527777777778
"24",11,28.3841637614789,0.324,-0.07,0.0013,"CSTlarv","GAM",0.502,0.549382716049383,32.1978419636768,0.526,-0.05,1e-04,-0.0836501901140685,13.4113432567789,0.627,0.02,0.1144,0.0303030303030303
"25",10,27.4368370793492,0.44,-0.01,0.0587,"MLDpjuv","GAM",0.502,0.140909090909091,32.1352802343319,0.531,-0.05,0.003,-0.0922787193973635,14.5087620705818,0.608,-0.09,0.0215,0.0625000000000001
"26",12,25.1630360640625,0.584,0.16,0.2604,"CSTpjuv","GAM",0.502,-0.14041095890411,31.9413239144534,0.55,-0.03,0.0406,-0.123636363636364,13.503932861378,0.644,0.01,0.1069,0.0031055900621118
