"","ModelID","AIC_LFO5","RMSE_LFO5","rsq_LFO5","var","model","null","RMSE_LFO5_rel","AIC_LOO","RMSE_LOO","rsq_LOO","RMSE_LOO_rel","AIC_LFO10","RMSE_LFO10","rsq_LFO10","RMSE_LFO10_rel"
"1",27,20.5653796869626,0.386,0.46,"CutiSTIpjuv +I(CutiSTIpjuv^2)","LM",0.502,0.300518134715026,24.6183462998564,0.416,0.37,0.127403846153846,11.6105209537785,0.477,0.37,0.259958071278826
"2",9,24.2557324585351,0.318,0.23,"MLDlarv","LM",0.502,0.578616352201258,27.3756881148049,0.435,0.21,0.0781609195402298,11.141184839691,0.511,0.28,0.176125244618395
"3",8,25.3899482849253,0.319,0.17,"MLDpart","LM",0.502,0.573667711598746,28.6462918219246,0.455,0.16,0.0307692307692307,13.2266008493643,0.513,0.13,0.171539961013645
"4",1,26.7823173052597,0.297,0.1,"DDpre","LM",0.502,0.69023569023569,29.9514048669323,0.459,0.1,0.0217864923747276,13.1144082713013,0.542,0.14,0.108856088560885
"5",6,26.6672117402004,0.321,0.1,"Tcop","LM",0.502,0.56386292834891,30.1850319066657,0.462,0.09,0.015151515151515,11.5183214276057,0.558,0.25,0.0770609318996414
"6",25,24.2620126767678,0.502,0.23,"X","LM",0.502,0,30.4165617743705,0.469,0.08,0,12.8611148665746,0.601,0.16,0
"7",2,27.1895449126457,0.341,0.07,"DDegg","LM",0.502,0.472140762463343,31.0945535842627,0.477,0.05,-0.0167714884696017,14.0528782232305,0.55,0.06,0.0927272727272726
"8",18,26.9695527700547,0.324,0.09,"ONIpjuv","LM",0.502,0.549382716049383,30.4860302377424,0.479,0.08,-0.0208768267223382,12.1841794144097,0.56,0.21,0.0732142857142856
"9",5,28.1587447070585,0.32,0.02,"DDben","LM",0.502,0.56875,31.8778722756907,0.483,0.02,-0.0289855072463768,14.7474074912844,0.557,0,0.0789946140035905
"10",3,27.9692246269483,0.279,0.03,"DDlarv","LM",0.502,0.799283154121864,31.0111746392741,0.484,0.06,-0.0309917355371901,13.7629806216567,0.562,0.09,0.0693950177935942
"11",13,27.5316982182666,0.344,0.05,"LSTlarv","LM",0.502,0.459302325581395,31.4036325555475,0.484,0.04,-0.0309917355371901,6.38459263144784,0.626,0.53,-0.0399361022364218
"12",20,27.4302825676973,0.376,0.06,"PDOpjuv","LM",0.502,0.335106382978723,31.7561336104609,0.486,0.02,-0.0349794238683128,13.8137310573475,0.567,0.08,0.0599647266313934
"13",19,28.1064252668507,0.284,0.02,"PDOlarv","LM",0.502,0.767605633802817,31.256089152399,0.488,0.04,-0.0389344262295082,14.6833550748228,0.564,0.01,0.0656028368794327
"14",12,28.3626733782477,0.328,0,"CSTpjuv","LM",0.502,0.530487804878049,32.1531201643734,0.49,0,-0.0428571428571429,13.5039328613695,0.584,0.11,0.0291095890410959
"15",7,28.0417601991499,0.291,0.02,"Tpart","LM",0.502,0.725085910652921,31.3042952414281,0.491,0.04,-0.044806517311609,14.4663767501742,0.563,0.03,0.0674955595026644
"16",15,28.2417520782961,0.288,0.01,"HCIlarv","LM",0.502,0.743055555555556,31.4580447887693,0.493,0.03,-0.0486815415821501,14.7307500232088,0.564,0,0.0656028368794327
"17",22,28.3914399322921,0.328,0,"CutiTUMIpjuv","LM",0.502,0.530487804878049,32.1867183071492,0.493,0,-0.0486815415821501,13.1086481992767,0.599,0.14,0.00333889816360601
"18",14,28.3909693593652,0.327,0,"LSTpjuv","LM",0.502,0.535168195718654,32.186131421416,0.496,0,-0.0544354838709678,14.6890706553522,0.572,0.01,0.0506993006993008
"19",16,28.3864599717246,0.336,0,"HCIpjuv","LM",0.502,0.494047619047619,32.1975499991802,0.497,0,-0.0563380281690141,14.5477176661334,0.576,0.02,0.0434027777777778
"20",21,27.6491911755027,0.323,0.05,"CutiSTIpjuv","LM",0.502,0.554179566563467,31.3473808376562,0.499,0.04,-0.060120240480962,14.5929889643413,0.583,0.01,0.0308747855917668
"21",26,28.2680007020114,0.302,0.01,"dfa","LM",0.502,0.662251655629139,31.7362172819893,0.5,0.02,-0.0620000000000001,14.3334483296667,0.571,0.04,0.0525394045534151
"22",24,28.2685959023636,0.32,0.01,"BeutiSTIpjuv","LM",0.502,0.56875,31.9876839648887,0.5,0.01,-0.0620000000000001,14.4018680688973,0.587,0.03,0.0238500851788757
"23",23,28.2651551713137,0.317,0.01,"BeutiTUMIpjuv","LM",0.502,0.583596214511041,31.9842587365084,0.502,0.01,-0.0657370517928287,13.4947637043117,0.585,0.11,0.0273504273504274
"24",11,28.3841637614001,0.324,0,"CSTlarv","LM",0.502,0.549382716049383,32.1978419634804,0.509,0,-0.0785854616895875,13.4113432567396,0.609,0.11,-0.013136288998358
"25",4,28.3639570366487,0.321,0,"DDpjuv","LM",0.502,0.56386292834891,32.1104420335905,0.511,0,-0.0821917808219179,13.624832609607,0.597,0.1,0.00670016750418761
"26",17,27.7725230202272,0.382,0.04,"ONIpre","LM",0.502,0.31413612565445,32.1930375953207,0.514,0,-0.0875486381322958,14.7434680173936,0.566,0,0.0618374558303888
"27",10,27.4368370792839,0.44,0.06,"MLDpjuv","LM",0.502,0.140909090909091,32.1352802341744,0.523,0,-0.103250478011472,14.5087620705213,0.603,0.02,-0.0033167495854063
