"","ModelID","AIC_LFO5","RMSE_LFO5","rsq_LFO5","dev.ex_LFO5","var","AIC_LOO","RMSE_LOO","rsq_LOO","dev.ex_LOO","AIC_LFO10","RMSE_LFO10","rsq_LFO10","dev.ex_LFO10","model"
"1",9,23.3214020963251,0.471,0.26,0.3577,"MLDlarv",28.372970505624,0.463,0.17,0.2634,11.5216955737294,0.593,0.22,0.3782,"NS"
"2",25,26.2170537145309,0.532,0.11,0.2303,"X",30.8902222285917,0.469,0.05,0.1458,3.15293555633805,0.909,0.66,0.8139,"NS"
"3",6,25.8457315424452,0.474,0.13,0.248,"Tcop",31.2089986134393,0.47,0.04,0.1327,12.960597801186,0.668,0.11,0.2913,"NS"
"4",1,24.1228327232549,0.51,0.18,0.2348,"DDpre",31.3191377862008,0.482,0.04,0.1445,12.7718328485637,0.667,0.07,0.1644,"NS"
"5",20,27.8198746042456,0.505,0.04,0.1935,"PDOpjuv",31.8864214610853,0.485,0.03,0.1682,15.2935582383411,0.671,-0.1,0.1238,"NS"
"6",2,24.0486067834891,0.513,0.18,0.2384,"DDegg",31.4124729507711,0.489,0.04,0.1515,12.6086420120368,0.635,0.09,0.1767,"NS"
"7",8,24.7704738487646,0.478,0.19,0.2968,"MLDpart",29.7235253074989,0.492,0.12,0.2204,13.5243275577079,0.622,0.07,0.254,"NS"
"8",5,24.2640501986521,0.516,0.17,0.228,"DDben",32.2634382685448,0.493,-0.01,0.102,12.967666533804,0.638,0.06,0.1494,"NS"
"9",22,28.4392437063598,0.422,-0.02,0.1156,"CutiTUMIpjuv",32.6980373229737,0.503,-0.03,0.069,10.3487913865184,1.246,0.3,0.4411,"NS"
"10",18,27.3730153640407,0.395,0.07,0.2384,"ONIpjuv",31.1799574469539,0.505,0.07,0.1945,8.78141339812395,0.839,0.39,0.5153,"NS"
"11",3,23.7964270551871,0.542,0.2,0.2503,"DDlarv",31.9420207168534,0.506,0.01,0.1244,14.4321642956696,0.68,-0.01,0.2081,"NS"
"12",14,26.0224512509191,0.529,0.12,0.2396,"LSTpjuv",32.1248637881287,0.508,0,0.0994,14.4926370679511,0.645,0,0.2221,"NS"
"13",21,29.2818908554951,0.468,-0.07,0.0788,"CutiSTIpjuv",32.9970440283003,0.509,-0.05,0.0556,14.5059324664945,1.125,-0.02,0.1844,"NS"
"14",24,29.8121746806509,0.361,-0.11,0.0364,"BeutiSTIpjuv",33.7552224232483,0.51,-0.09,0.0209,15.6300521713646,0.692,-0.13,0.0966,"NS"
"15",4,23.8154869328683,0.515,0.2,0.2494,"DDpjuv",31.7960509077205,0.51,0.02,0.1385,-6.44188395184903,0.795,0.86,0.9386,"NS"
"16",12,23.7780220897166,0.719,0.24,0.3391,"CSTpjuv",31.4929891937211,0.51,0.02,0.1209,0.722363480071579,0.736,0.72,0.8803,"NS"
"17",23,28.6166125719944,0.371,-0.03,0.1058,"BeutiTUMIpjuv",32.8925238021138,0.514,-0.04,0.0603,15.4707080774975,1.09,-0.11,0.1096,"NS"
"18",15,27.393451257082,0.434,0.04,0.1716,"HCIlarv",31.6636709470212,0.517,0.03,0.1536,13.6311111696869,0.705,0.06,0.2467,"NS"
"19",7,25.9515759920604,0.546,0.13,0.243,"Tpart",32.1507649616078,0.521,0,0.1138,14.8678994363979,0.692,-0.05,0.1604,"NS"
"20",11,28.0753489434428,0.439,0,0.1355,"CSTlarv",33.0625803444167,0.523,-0.05,0.0527,14.1848946932443,0.676,0.01,0.2078,"NS"
"21",16,28.1991444796115,0.503,-0.01,0.1288,"HCIpjuv",33.0844414329392,0.528,-0.05,0.0689,5.72662973469571,1.197,0.58,0.7605,"NS"
"22",19,29.5801517286072,0.312,-0.08,0.0959,"PDOlarv",32.7990384432805,0.536,-0.02,0.1,15.7478388392485,0.658,-0.14,0.0869,"NS"
"23",10,24.2685582090027,0.51,0.17,0.2278,"MLDpjuv",32.2827287393993,0.543,0,0.1109,0.330832148904269,0.609,0.74,0.8804,"NS"
"24",26,29.2250636802127,0.347,-0.05,0.1279,"dfa",33.597713245485,0.581,-0.07,0.0484,16.2186787319233,0.647,-0.19,0.0469,"NS"
"25",17,15.5965358189454,0.861,0.6,0.7523,"ONIpre",25.7775886119317,0.591,0.29,0.4138,11.1983969736321,0.856,0.25,0.3962,"NS"
"26",13,29.4590346307221,0.41,-0.09,0.0574,"LSTlarv",33.3907044175586,0.643,-0.07,0.0378,7.68725923889818,0.745,0.45,0.5612,"NS"
