"","fitted_LFO","var","year","Y_Rec","sd","residual_LFO","Type","fitted_LOO","residuals_loo"
"1",-0.113779049689518,"DDpre",2011,-0.448451,NA,NA,"predicted",-0.117846782251727,-0.330604217748273
"2",-0.210180736181679,"DDpre",2012,-0.218587,NA,NA,"predicted",-0.184974184191649,-0.0336128158083509
"3",-0.138094723418302,"DDpre",2013,0.0738459,NA,NA,"predicted",-0.116261184008131,0.190107084008131
"4",-0.129014925748311,"DDpre",2014,0.0104437,NA,NA,"predicted",-0.120511754215474,0.130955454215474
"5",0.0118948646068719,"DDegg",2011,-0.448451,NA,NA,"predicted",-0.0123638878213081,-0.436087112178692
"6",-0.163530819065704,"DDegg",2012,-0.218587,NA,NA,"predicted",-0.138356257455964,-0.0802307425440358
"7",0.0935739137034295,"DDegg",2013,0.0738459,NA,NA,"predicted",0.0796090081349531,-0.00576310813495309
"8",-0.251139177260507,"DDegg",2014,0.0104437,NA,NA,"predicted",-0.207095176734961,0.217538876734961
"9",-0.121129667214659,"DDlarv",2011,-0.448451,NA,NA,"predicted",-0.123171737955788,-0.325279262044212
"10",-0.230752006154941,"DDlarv",2012,-0.218587,NA,NA,"predicted",-0.188925411499439,-0.0296615885005612
"11",-0.199870432405849,"DDlarv",2013,0.0738459,NA,NA,"predicted",-0.163775598076402,0.237621498076402
"12",-0.0766346962874963,"DDlarv",2014,0.0104437,NA,NA,"predicted",-0.0722009146757931,0.0826446146757931
"13",-0.0304578648734446,"DDpjuv",2011,-0.448451,NA,NA,"predicted",-0.0702901398796233,-0.378160860120377
"14",-0.0641766894292959,"DDpjuv",2012,-0.218587,NA,NA,"predicted",-0.0618857916752004,-0.1567012083248
"15",-0.0817156484780809,"DDpjuv",2013,0.0738459,NA,NA,"predicted",-0.0672863051096411,0.141132205109641
"16",-0.0422612089386455,"DDpjuv",2014,0.0104437,NA,NA,"predicted",-0.0396884923942007,0.0501321923942007
"17",-0.0474152847357163,"DDben",2011,-0.448451,NA,NA,"predicted",-0.07361030148367,-0.37484069851633
