"","ModelID","AIC_LFO","RMSE_LFO","rsq_LFO","dev.ex_LFO","var","AIC_LOO","RMSE_LOO","rsq_LOO","dev.ex_LOO"
"1",21,21.2021007696363,0.389,0.39,0.4616,"CutiSTIpjuv",24.9423135204264,0.432,0.28,0.3494
"2",13,26.6703396786945,0.21,0.15,0.2382,"LSTlarv",27.6211807327824,0.433,0.18,0.2562
"3",9,24.6470427401264,0.328,0.23,0.3036,"MLDlarv",27.3756881149943,0.436,0.16,0.2052
"4",1,28.2411080920664,0.21,0.03,0.0931,"DDpre",29.9514048671177,0.46,0.05,0.1015
"5",6,28.1808408703092,0.245,0.04,0.0963,"Tcop",30.1850319068618,0.462,0.04,0.0915
"6",8,26.3760412235428,0.293,0.13,0.1874,"MLDpart",28.6462918220924,0.473,0.11,0.1556
"7",2,28.7852558284778,0.266,0,0.0636,"DDegg",31.0945535843693,0.479,0,0.0512
"8",25,28.0867303567774,0.295,0.04,0.1013,"X",30.1952661764995,0.482,0.06,0.1178
"9",18,27.8602574564565,0.309,0.06,0.1153,"ONIpjuv",30.4860302373205,0.483,0.03,0.0783
"10",3,29.1093894778504,0.218,-0.02,0.0456,"DDlarv",31.011174639421,0.484,0.01,0.055
"11",20,28.6752759459281,0.349,0.01,0.0697,"PDOpjuv",31.75613361061,0.486,-0.03,0.0209
"12",7,29.330378775561,0.22,-0.03,0.0331,"Tpart",31.3042952415975,0.491,-0.01,0.0417
"13",15,29.4898338987977,0.217,-0.04,0.024,"HCIlarv",31.4580447889243,0.493,-0.02,0.0347
"14",22,29.7804954967498,0.262,-0.06,0.0072,"CutiTUMIpjuv",32.1867183073171,0.493,-0.05,6e-04
"15",5,29.6844133142673,0.238,-0.05,0.0128,"DDben",31.8778722754386,0.498,-0.04,0.0152
"16",17,24.9796551144491,0.463,0.23,0.3226,"ONIpre",29.8605520827081,0.499,0.09,0.1665
"17",26,29.6903992949193,0.222,-0.05,0.0124,"dfa",31.7362172820819,0.5,-0.03,0.0218
"18",14,29.7854326082638,0.261,-0.06,0.0069,"LSTpjuv",32.1861314215772,0.501,-0.05,6e-04
"19",23,29.8034920714309,0.231,-0.06,0.0058,"BeutiTUMIpjuv",31.9842587366284,0.502,-0.04,0.0102
"20",19,29.4335109857905,0.203,-0.04,0.0272,"PDOlarv",31.2560891525612,0.504,-0.01,0.0439
"21",24,28.4636997232163,0.275,0.05,0.1483,"BeutiSTIpjuv",31.2004506828873,0.506,0.02,0.0943
"22",4,29.8952467443558,0.237,-0.07,5e-04,"DDpjuv",32.1104420337745,0.516,-0.05,0.0042
"23",16,29.7744624141568,0.253,-0.05,0.0224,"HCIpjuv",31.8601375991355,0.516,-0.02,0.0513
"24",11,29.8923477995316,0.248,-0.07,6e-04,"CSTlarv",32.1978419636768,0.526,-0.05,1e-04
"25",10,29.8585883110288,0.24,-0.06,0.0026,"MLDpjuv",32.1352802343319,0.531,-0.05,0.003
"26",12,27.1888168330666,0.581,0.12,0.2202,"CSTpjuv",31.9413239144534,0.55,-0.03,0.0406
